,n,v_1,v_2,v_3,v_4,v_5,k,r,scale,sampled error,suzuki error
1,5.0,-0.0868026827782653,0.9132962777942596,-0.7319367414760487,-0.3289493162632717,-0.5470920147217146,2.0,75.0,1e-07,0.0051606668945496734,0.005157732753798719
2,5.0,-0.0868026827782653,0.9132962777942596,-0.7319367414760487,-0.3289493162632717,-0.5470920147217146,2.0,75.0,1e-07,0.0051538349407429076,0.005157732753798719
3,5.0,-0.0868026827782653,0.9132962777942596,-0.7319367414760487,-0.3289493162632717,-0.5470920147217146,2.0,75.0,1e-07,0.005156144554110145,0.005157732753798719
4,5.0,-0.0868026827782653,0.9132962777942596,-0.7319367414760487,-0.3289493162632717,-0.5470920147217146,2.0,75.0,1e-07,0.005157470625627946,0.005157732753798719
5,5.0,-0.0868026827782653,0.9132962777942596,-0.7319367414760487,-0.3289493162632717,-0.5470920147217146,2.0,75.0,1e-07,0.005157475488394185,0.005157732753798719
6,5.0,-0.0868026827782653,0.9132962777942596,-0.7319367414760487,-0.3289493162632717,-0.5470920147217146,2.0,75.0,1e-07,0.005159908916012682,0.005157732753798719
7,5.0,-0.0868026827782653,0.9132962777942596,-0.7319367414760487,-0.3289493162632717,-0.5470920147217146,2.0,75.0,1e-07,0.0051593026135192425,0.005157732753798719
8,5.0,-0.0868026827782653,0.9132962777942596,-0.7319367414760487,-0.3289493162632717,-0.5470920147217146,2.0,75.0,1e-07,0.0051499502230474715,0.005157732753798719
9,5.0,-0.0868026827782653,0.9132962777942596,-0.7319367414760487,-0.3289493162632717,-0.5470920147217146,2.0,75.0,1e-07,0.005160048826015636,0.005157732753798719
10,5.0,-0.0868026827782653,0.9132962777942596,-0.7319367414760487,-0.3289493162632717,-0.5470920147217146,2.0,75.0,1e-07,0.005155579329770227,0.005157732753798719
11,5.0,-0.0868026827782653,0.9132962777942596,-0.7319367414760487,-0.3289493162632717,-0.5470920147217146,2.0,75.0,1e-07,0.0051699647089338925,0.005157732753798719
12,5.0,-0.0868026827782653,0.9132962777942596,-0.7319367414760487,-0.3289493162632717,-0.5470920147217146,2.0,75.0,1e-07,0.005165400210011468,0.005157732753798719
13,5.0,-0.0868026827782653,0.9132962777942596,-0.7319367414760487,-0.3289493162632717,-0.5470920147217146,2.0,75.0,1e-07,0.005159166479507909,0.005157732753798719
14,5.0,-0.0868026827782653,0.9132962777942596,-0.7319367414760487,-0.3289493162632717,-0.5470920147217146,2.0,75.0,1e-07,0.005161954635054808,0.005157732753798719
15,5.0,-0.0868026827782653,0.9132962777942596,-0.7319367414760487,-0.3289493162632717,-0.5470920147217146,2.0,75.0,1e-07,0.005163856569185416,0.005157732753798719
16,5.0,-0.0868026827782653,0.9132962777942596,-0.7319367414760487,-0.3289493162632717,-0.5470920147217146,2.0,75.0,1e-07,0.005155826468432557,0.005157732753798719
17,5.0,-0.0868026827782653,0.9132962777942596,-0.7319367414760487,-0.3289493162632717,-0.5470920147217146,2.0,75.0,1e-07,0.005156233758324168,0.005157732753798719
18,5.0,-0.0868026827782653,0.9132962777942596,-0.7319367414760487,-0.3289493162632717,-0.5470920147217146,2.0,75.0,1e-07,0.005151714855453954,0.005157732753798719
19,5.0,-0.0868026827782653,0.9132962777942596,-0.7319367414760487,-0.3289493162632717,-0.5470920147217146,2.0,75.0,1e-07,0.00515781603664411,0.005157732753798719
20,5.0,-0.0868026827782653,0.9132962777942596,-0.7319367414760487,-0.3289493162632717,-0.5470920147217146,2.0,75.0,1e-07,0.005163471976848104,0.005157732753798719
21,5.0,-0.0868026827782653,0.9132962777942596,-0.7319367414760487,-0.3289493162632717,-0.5470920147217146,2.0,75.0,1e-07,0.005154044066378776,0.005157732753798719
22,5.0,-0.0868026827782653,0.9132962777942596,-0.7319367414760487,-0.3289493162632717,-0.5470920147217146,2.0,75.0,1e-07,0.005160931804282401,0.005157732753798719
23,5.0,-0.0868026827782653,0.9132962777942596,-0.7319367414760487,-0.3289493162632717,-0.5470920147217146,2.0,75.0,1e-07,0.00515643505164257,0.005157732753798719
24,5.0,-0.0868026827782653,0.9132962777942596,-0.7319367414760487,-0.3289493162632717,-0.5470920147217146,2.0,75.0,1e-07,0.0051531275395863,0.005157732753798719
25,5.0,-0.0868026827782653,0.9132962777942596,-0.7319367414760487,-0.3289493162632717,-0.5470920147217146,2.0,75.0,1e-07,0.005160884888868092,0.005157732753798719
26,5.0,-0.0868026827782653,0.9132962777942596,-0.7319367414760487,-0.3289493162632717,-0.5470920147217146,2.0,75.0,1e-07,0.005160126545579604,0.005157732753798719
27,5.0,-0.0868026827782653,0.9132962777942596,-0.7319367414760487,-0.3289493162632717,-0.5470920147217146,2.0,75.0,1e-07,0.005157962888957883,0.005157732753798719
28,5.0,-0.0868026827782653,0.9132962777942596,-0.7319367414760487,-0.3289493162632717,-0.5470920147217146,2.0,75.0,1e-07,0.005151770702314896,0.005157732753798719
29,5.0,-0.0868026827782653,0.9132962777942596,-0.7319367414760487,-0.3289493162632717,-0.5470920147217146,2.0,75.0,1e-07,0.005165485699940084,0.005157732753798719
30,5.0,-0.0868026827782653,0.9132962777942596,-0.7319367414760487,-0.3289493162632717,-0.5470920147217146,2.0,75.0,1e-07,0.00515806129843485,0.005157732753798719
31,5.0,-0.0868026827782653,0.9132962777942596,-0.7319367414760487,-0.3289493162632717,-0.5470920147217146,2.0,75.0,1e-07,0.0051495340077750236,0.005157732753798719
32,5.0,-0.0868026827782653,0.9132962777942596,-0.7319367414760487,-0.3289493162632717,-0.5470920147217146,2.0,75.0,1e-07,0.005164916499710087,0.005157732753798719
33,5.0,-0.0868026827782653,0.9132962777942596,-0.7319367414760487,-0.3289493162632717,-0.5470920147217146,2.0,75.0,1e-07,0.0051598103800896975,0.005157732753798719
34,5.0,-0.0868026827782653,0.9132962777942596,-0.7319367414760487,-0.3289493162632717,-0.5470920147217146,2.0,75.0,1e-07,0.005157617247716906,0.005157732753798719
35,5.0,-0.0868026827782653,0.9132962777942596,-0.7319367414760487,-0.3289493162632717,-0.5470920147217146,2.0,75.0,1e-07,0.005152371254583054,0.005157732753798719
36,5.0,-0.0868026827782653,0.9132962777942596,-0.7319367414760487,-0.3289493162632717,-0.5470920147217146,2.0,75.0,1e-07,0.005158383459496439,0.005157732753798719
