id,n,v_1,v_2,v_3,v_4,v_5,k,r,seed,gens,algorithm,kind,p_1,p_2,p_3,p_4,p_5,optimised error,suzuki error,% error,time
111,5,0.09640984945486153,0.16554078304766007,-0.7392959233634115,-0.32963147600991705,-0.4714438567589781,2,125,7913248,250,CMAES,p,0.4148420577393206,0.414820374685335,-0.6568147844501553,0.4132819378909934,0.41386853292465775,0.00023634801337088835,0.0005460079975930028,43.28654789175147,703.689612865448
112,5,0.09640984945486153,0.16554078304766007,-0.7392959233634115,-0.32963147600991705,-0.4714438567589781,2,125,8597652,250,CMAES,p,0.4159293404347556,0.41399516817537907,-0.6568203687873021,0.41284508920044427,0.4140488930624179,0.00023670325150111404,0.0005460079975930028,43.351608867376676,702.095073223114
113,5,0.09640984945486153,0.16554078304766007,-0.7392959233634115,-0.32963147600991705,-0.4714438567589781,2,125,8805269,250,CMAES,p,0.4145609164912285,0.4143506561933826,-0.6568149655359112,0.4135844451512397,0.4143170610510378,0.00023617168000801685,0.0005460079975930028,43.25425287709072,701.8816547393799
114,5,0.09640984945486153,0.16554078304766007,-0.7392959233634115,-0.32963147600991705,-0.4714438567589781,2,125,8996026,250,CMAES,p,0.4144346992707687,0.41418087813722737,-0.6568133091673476,0.41385511939900954,0.4143407273003751,0.00023614902470628387,0.0005460079975930028,43.25010361520575,701.9139964580536
115,5,0.09640984945486153,0.16554078304766007,-0.7392959233634115,-0.32963147600991705,-0.4714438567589781,2,125,9001963,250,CMAES,p,0.41409628268571286,0.4131208986675843,-0.6568156318690959,0.4142466348487534,0.4153499363601448,0.00023642799723574848,0.0005460079975930028,43.301196736679145,701.2733333110809
