,r,gate count,error
0,25.0,4302.6,0.10219588872452208
1,50.0,8602.6,0.013780897675569684
2,75.0,12902.6,0.003118257531697039
3,100.0,17202.6,0.0010320949472409722
4,125.0,21502.6,0.00043147631974589103
5,150.0,25802.6,0.00021038253321238338
6,175.0,30102.6,0.00011431114000495176
7,200.0,34402.6,6.729482346762655e-05
8,225.0,38702.6,4.2135435461354735e-05
9,250.0,43002.6,2.7703131623013574e-05
10,275.0,47302.6,1.895098164448831e-05
11,300.0,51602.6,1.339643946929982e-05
12,325.0,55902.6,9.735070861468661e-06
13,350.0,60202.6,7.242961186095176e-06
14,375.0,64502.6,5.499433076037747e-06
15,400.0,68802.6,4.25021971532617e-06
