id,n,v_1,v_2,v_3,v_4,v_5,k,r,seed,gens,algorithm,kind
1,5,-0.10697142702071627,0.529058605311209,0.5043258788245542,-0.3482646246706034,-0.9502583693259468,2,25,911475955,250,CMAES,p
2,5,-0.10697142702071627,0.529058605311209,0.5043258788245542,-0.3482646246706034,-0.9502583693259468,2,50,911475955,250,CMAES,p
3,5,-0.10697142702071627,0.529058605311209,0.5043258788245542,-0.3482646246706034,-0.9502583693259468,2,75,911475955,250,CMAES,p
4,5,-0.10697142702071627,0.529058605311209,0.5043258788245542,-0.3482646246706034,-0.9502583693259468,2,100,911475955,250,CMAES,p
5,5,-0.10697142702071627,0.529058605311209,0.5043258788245542,-0.3482646246706034,-0.9502583693259468,2,125,911475955,250,CMAES,p
6,5,-0.10697142702071627,0.529058605311209,0.5043258788245542,-0.3482646246706034,-0.9502583693259468,2,150,911475955,250,CMAES,p
7,5,-0.10697142702071627,0.529058605311209,0.5043258788245542,-0.3482646246706034,-0.9502583693259468,2,175,911475955,250,CMAES,p
8,5,-0.10697142702071627,0.529058605311209,0.5043258788245542,-0.3482646246706034,-0.9502583693259468,2,200,911475955,250,CMAES,p
9,5,-0.10697142702071627,0.529058605311209,0.5043258788245542,-0.3482646246706034,-0.9502583693259468,2,225,911475955,250,CMAES,p
10,5,-0.10697142702071627,0.529058605311209,0.5043258788245542,-0.3482646246706034,-0.9502583693259468,2,250,911475955,250,CMAES,p
11,5,-0.10697142702071627,0.529058605311209,0.5043258788245542,-0.3482646246706034,-0.9502583693259468,2,275,911475955,250,CMAES,p
12,5,-0.10697142702071627,0.529058605311209,0.5043258788245542,-0.3482646246706034,-0.9502583693259468,2,300,911475955,250,CMAES,p
13,5,-0.10697142702071627,0.529058605311209,0.5043258788245542,-0.3482646246706034,-0.9502583693259468,2,325,911475955,250,CMAES,p
14,5,-0.10697142702071627,0.529058605311209,0.5043258788245542,-0.3482646246706034,-0.9502583693259468,2,350,911475955,250,CMAES,p
15,5,-0.10697142702071627,0.529058605311209,0.5043258788245542,-0.3482646246706034,-0.9502583693259468,2,375,911475955,250,CMAES,p
16,5,-0.10697142702071627,0.529058605311209,0.5043258788245542,-0.3482646246706034,-0.9502583693259468,2,400,911475955,250,CMAES,p
17,5,0.09640984945486153,0.16554078304766007,-0.7392959233634115,-0.32963147600991705,-0.47144385675897804,2,25,911475955,250,CMAES,p
