exp,row,n,k,r,t,p_1,p_2,p_3,p_4,p_5,v_1,v_2,v_3,v_4,v_5,v_6,v_7,v_8,v_9,v_10,v_11
13,1,5,2,125,10,0.41452571175792596,0.416220263539234,-0.6568250886855437,0.412076368661816,0.4140008651503471,0.09640984945486153,0.16554078304766007,-0.7392959233634115,-0.32963147600991705,-0.4714438567589781,,,,,,
13,2,6,2,125,12,0.41452571175792596,0.416220263539234,-0.6568250886855437,0.412076368661816,0.4140008651503471,0.09640984945486153,0.16554078304766007,-0.7392959233634115,-0.32963147600991705,-0.4714438567589781,0.44378531535682475,,,,,
13,3,7,2,125,14,0.41452571175792596,0.416220263539234,-0.6568250886855437,0.412076368661816,0.4140008651503471,0.09640984945486153,0.16554078304766007,-0.7392959233634115,-0.32963147600991705,-0.4714438567589781,0.44378531535682475,0.9307261169451309,,,,
13,4,8,2,125,16,0.41452571175792596,0.416220263539234,-0.6568250886855437,0.412076368661816,0.4140008651503471,0.09640984945486153,0.16554078304766007,-0.7392959233634115,-0.32963147600991705,-0.4714438567589781,0.44378531535682475,0.9307261169451309,-0.5781773044129426,,,
13,5,9,2,125,18,0.41452571175792596,0.416220263539234,-0.6568250886855437,0.412076368661816,0.4140008651503471,0.09640984945486153,0.16554078304766007,-0.7392959233634115,-0.32963147600991705,-0.4714438567589781,0.44378531535682475,0.9307261169451309,-0.5781773044129426,0.6265247401450724,,
13,6,10,2,125,20,0.41452571175792596,0.416220263539234,-0.6568250886855437,0.412076368661816,0.4140008651503471,0.09640984945486153,0.16554078304766007,-0.7392959233634115,-0.32963147600991705,-0.4714438567589781,0.44378531535682475,0.9307261169451309,-0.5781773044129426,0.6265247401450724,0.9565801751783525,
13,7,11,2,125,22,0.41452571175792596,0.416220263539234,-0.6568250886855437,0.412076368661816,0.4140008651503471,0.09640984945486153,0.16554078304766007,-0.7392959233634115,-0.32963147600991705,-0.4714438567589781,0.44378531535682475,0.9307261169451309,-0.5781773044129426,0.6265247401450724,0.9565801751783525,-0.5291817561082259
13,8,5,2,125,10,0.41377852156670797,0.41441102488057824,-0.6568135192424558,0.41435727561313146,0.41426481148208016,0.09640984945486153,0.16554078304766007,-0.7392959233634115,-0.32963147600991705,-0.4714438567589781,,,,,,
13,9,6,2,125,12,0.41377852156670797,0.41441102488057824,-0.6568135192424558,0.41435727561313146,0.41426481148208016,0.09640984945486153,0.16554078304766007,-0.7392959233634115,-0.32963147600991705,-0.4714438567589781,-0.827601627603257,,,,,
13,10,7,2,125,14,0.41377852156670797,0.41441102488057824,-0.6568135192424558,0.41435727561313146,0.41426481148208016,0.09640984945486153,0.16554078304766007,-0.7392959233634115,-0.32963147600991705,-0.4714438567589781,-0.827601627603257,0.2377321929796865,,,,
13,11,8,2,125,16,0.41377852156670797,0.41441102488057824,-0.6568135192424558,0.41435727561313146,0.41426481148208016,0.09640984945486153,0.16554078304766007,-0.7392959233634115,-0.32963147600991705,-0.4714438567589781,-0.827601627603257,0.2377321929796865,0.8569202511094962,,,
13,12,9,2,125,18,0.41377852156670797,0.41441102488057824,-0.6568135192424558,0.41435727561313146,0.41426481148208016,0.09640984945486153,0.16554078304766007,-0.7392959233634115,-0.32963147600991705,-0.4714438567589781,-0.827601627603257,0.2377321929796865,0.8569202511094962,0.9402922556138458,,
13,13,10,2,125,20,0.41377852156670797,0.41441102488057824,-0.6568135192424558,0.41435727561313146,0.41426481148208016,0.09640984945486153,0.16554078304766007,-0.7392959233634115,-0.32963147600991705,-0.4714438567589781,-0.827601627603257,0.2377321929796865,0.8569202511094962,0.9402922556138458,0.0451281243454138,
13,14,11,2,125,22,0.41377852156670797,0.41441102488057824,-0.6568135192424558,0.41435727561313146,0.41426481148208016,0.09640984945486153,0.16554078304766007,-0.7392959233634115,-0.32963147600991705,-0.4714438567589781,-0.827601627603257,0.2377321929796865,0.8569202511094962,0.9402922556138458,0.0451281243454138,0.2653161897595844
13,15,5,2,125,10,0.41377368781451795,0.4152170376157064,-0.6568175040827146,0.4132200252255018,0.41460486673856417,0.09640984945486153,0.16554078304766007,-0.7392959233634115,-0.32963147600991705,-0.4714438567589781,,,,,,
13,16,6,2,125,12,0.41377368781451795,0.4152170376157064,-0.6568175040827146,0.4132200252255018,0.41460486673856417,0.09640984945486153,0.16554078304766007,-0.7392959233634115,-0.32963147600991705,-0.4714438567589781,0.3170384345291999,,,,,
13,17,7,2,125,14,0.41377368781451795,0.4152170376157064,-0.6568175040827146,0.4132200252255018,0.41460486673856417,0.09640984945486153,0.16554078304766007,-0.7392959233634115,-0.32963147600991705,-0.4714438567589781,0.3170384345291999,0.24479508489849855,,,,
13,18,8,2,125,16,0.41377368781451795,0.4152170376157064,-0.6568175040827146,0.4132200252255018,0.41460486673856417,0.09640984945486153,0.16554078304766007,-0.7392959233634115,-0.32963147600991705,-0.4714438567589781,0.3170384345291999,0.24479508489849855,0.22503122400784492,,,
13,19,9,2,125,18,0.41377368781451795,0.4152170376157064,-0.6568175040827146,0.4132200252255018,0.41460486673856417,0.09640984945486153,0.16554078304766007,-0.7392959233634115,-0.32963147600991705,-0.4714438567589781,0.3170384345291999,0.24479508489849855,0.22503122400784492,-0.9375139800545322,,
13,20,10,2,125,20,0.41377368781451795,0.4152170376157064,-0.6568175040827146,0.4132200252255018,0.41460486673856417,0.09640984945486153,0.16554078304766007,-0.7392959233634115,-0.32963147600991705,-0.4714438567589781,0.3170384345291999,0.24479508489849855,0.22503122400784492,-0.9375139800545322,-0.01631794803694997,
13,21,11,2,125,22,0.41377368781451795,0.4152170376157064,-0.6568175040827146,0.4132200252255018,0.41460486673856417,0.09640984945486153,0.16554078304766007,-0.7392959233634115,-0.32963147600991705,-0.4714438567589781,0.3170384345291999,0.24479508489849855,0.22503122400784492,-0.9375139800545322,-0.01631794803694997,0.7685314432793855
