exp,row,n,k,r,t,p_1,p_2,p_3,p_4,p_5,v_1,v_2,v_3,v_4,v_5,original_error,suzuki_error,original_r,error
16,211,5,2,75,10,0.41445941647988777,0.41438859091189895,-0.6578079416353512,0.4144808364570968,0.41447906141455293,-0.10697142702071627,0.529058605311209,0.5043258788245542,-0.3482646246706034,-0.9502583693259468,4.306594440831774e-06,9.283494772123576e-06,350,0.00394832089927
16,212,5,2,100,10,0.41445941647988777,0.41438859091189895,-0.6578079416353512,0.4144808364570968,0.41447906141455293,-0.10697142702071627,0.529058605311209,0.5043258788245542,-0.3482646246706034,-0.9502583693259468,4.306594440831774e-06,9.283494772123576e-06,350,0.00127960281574
16,213,5,2,125,10,0.41445941647988777,0.41438859091189895,-0.6578079416353512,0.4144808364570968,0.41447906141455293,-0.10697142702071627,0.529058605311209,0.5043258788245542,-0.3482646246706034,-0.9502583693259468,4.306594440831774e-06,9.283494772123576e-06,350,0.000522514556459
16,214,5,2,150,10,0.41445941647988777,0.41438859091189895,-0.6578079416353512,0.4144808364570968,0.41447906141455293,-0.10697142702071627,0.529058605311209,0.5043258788245542,-0.3482646246706034,-0.9502583693259468,4.306594440831774e-06,9.283494772123576e-06,350,0.000247592592502
16,215,5,2,175,10,0.41445941647988777,0.41438859091189895,-0.6578079416353512,0.4144808364570968,0.41447906141455293,-0.10697142702071627,0.529058605311209,0.5043258788245542,-0.3482646246706034,-0.9502583693259468,4.306594440831774e-06,9.283494772123576e-06,350,0.000129875396117
16,216,5,2,200,10,0.41445941647988777,0.41438859091189895,-0.6578079416353512,0.4144808364570968,0.41447906141455293,-0.10697142702071627,0.529058605311209,0.5043258788245542,-0.3482646246706034,-0.9502583693259468,4.306594440831774e-06,9.283494772123576e-06,350,7.32108655389e-05
16,217,5,2,225,10,0.41445941647988777,0.41438859091189895,-0.6578079416353512,0.4144808364570968,0.41447906141455293,-0.10697142702071627,0.529058605311209,0.5043258788245542,-0.3482646246706034,-0.9502583693259468,4.306594440831774e-06,9.283494772123576e-06,350,4.34535961226e-05
16,218,5,2,250,10,0.41445941647988777,0.41438859091189895,-0.6578079416353512,0.4144808364570968,0.41447906141455293,-0.10697142702071627,0.529058605311209,0.5043258788245542,-0.3482646246706034,-0.9502583693259468,4.306594440831774e-06,9.283494772123576e-06,350,2.67440937372e-05
16,219,5,2,275,10,0.41445941647988777,0.41438859091189895,-0.6578079416353512,0.4144808364570968,0.41447906141455293,-0.10697142702071627,0.529058605311209,0.5043258788245542,-0.3482646246706034,-0.9502583693259468,4.306594440831774e-06,9.283494772123576e-06,350,1.68520457096e-05
16,220,5,2,300,10,0.41445941647988777,0.41438859091189895,-0.6578079416353512,0.4144808364570968,0.41447906141455293,-0.10697142702071627,0.529058605311209,0.5043258788245542,-0.3482646246706034,-0.9502583693259468,4.306594440831774e-06,9.283494772123576e-06,350,1.07417562724e-05
16,221,5,2,325,10,0.41445941647988777,0.41438859091189895,-0.6578079416353512,0.4144808364570968,0.41447906141455293,-0.10697142702071627,0.529058605311209,0.5043258788245542,-0.3482646246706034,-0.9502583693259468,4.306594440831774e-06,9.283494772123576e-06,350,6.83462632434e-06
16,222,5,2,350,10,0.41445941647988777,0.41438859091189895,-0.6578079416353512,0.4144808364570968,0.41447906141455293,-0.10697142702071627,0.529058605311209,0.5043258788245542,-0.3482646246706034,-0.9502583693259468,4.306594440831774e-06,9.283494772123576e-06,350,4.30659444083e-06
16,223,5,2,375,10,0.41445941647988777,0.41438859091189895,-0.6578079416353512,0.4144808364570968,0.41447906141455293,-0.10697142702071627,0.529058605311209,0.5043258788245542,-0.3482646246706034,-0.9502583693259468,4.306594440831774e-06,9.283494772123576e-06,350,4.06288759445e-06
16,224,5,2,400,10,0.41445941647988777,0.41438859091189895,-0.6578079416353512,0.4144808364570968,0.41447906141455293,-0.10697142702071627,0.529058605311209,0.5043258788245542,-0.3482646246706034,-0.9502583693259468,4.306594440831774e-06,9.283494772123576e-06,350,3.90173176593e-06
16,225,5,2,25,10,0.4143810260474208,0.4145264869177345,-0.6578277604877437,0.4144740350010757,0.4144461849063507,-0.10697142702071627,0.529058605311209,0.5043258788245542,-0.3482646246706034,-0.9502583693259468,3.269947080660769e-06,7.048320503199347e-06,375,0.125403498018
16,226,5,2,50,10,0.4143810260474208,0.4145264869177345,-0.6578277604877437,0.4144740350010757,0.4144461849063507,-0.10697142702071627,0.529058605311209,0.5043258788245542,-0.3482646246706034,-0.9502583693259468,3.269947080660769e-06,7.048320503199347e-06,375,0.0179841143153
16,227,5,2,75,10,0.4143810260474208,0.4145264869177345,-0.6578277604877437,0.4144740350010757,0.4144461849063507,-0.10697142702071627,0.529058605311209,0.5043258788245542,-0.3482646246706034,-0.9502583693259468,3.269947080660769e-06,7.048320503199347e-06,375,0.00396032616776
16,228,5,2,100,10,0.4143810260474208,0.4145264869177345,-0.6578277604877437,0.4144740350010757,0.4144461849063507,-0.10697142702071627,0.529058605311209,0.5043258788245542,-0.3482646246706034,-0.9502583693259468,3.269947080660769e-06,7.048320503199347e-06,375,0.0012862290705
16,229,5,2,125,10,0.4143810260474208,0.4145264869177345,-0.6578277604877437,0.4144740350010757,0.4144461849063507,-0.10697142702071627,0.529058605311209,0.5043258788245542,-0.3482646246706034,-0.9502583693259468,3.269947080660769e-06,7.048320503199347e-06,375,0.000526783081969
16,230,5,2,150,10,0.4143810260474208,0.4145264869177345,-0.6578277604877437,0.4144740350010757,0.4144461849063507,-0.10697142702071627,0.529058605311209,0.5043258788245542,-0.3482646246706034,-0.9502583693259468,3.269947080660769e-06,7.048320503199347e-06,375,0.000250614158392
16,231,5,2,175,10,0.4143810260474208,0.4145264869177345,-0.6578277604877437,0.4144740350010757,0.4144461849063507,-0.10697142702071627,0.529058605311209,0.5043258788245542,-0.3482646246706034,-0.9502583693259468,3.269947080660769e-06,7.048320503199347e-06,375,0.000132156371192
16,232,5,2,200,10,0.4143810260474208,0.4145264869177345,-0.6578277604877437,0.4144740350010757,0.4144461849063507,-0.10697142702071627,0.529058605311209,0.5043258788245542,-0.3482646246706034,-0.9502583693259468,3.269947080660769e-06,7.048320503199347e-06,375,7.50156581084e-05
16,233,5,2,225,10,0.4143810260474208,0.4145264869177345,-0.6578277604877437,0.4144740350010757,0.4144461849063507,-0.10697142702071627,0.529058605311209,0.5043258788245542,-0.3482646246706034,-0.9502583693259468,3.269947080660769e-06,7.048320503199347e-06,375,4.49339262323e-05
16,234,5,2,250,10,0.4143810260474208,0.4145264869177345,-0.6578277604877437,0.4144740350010757,0.4144461849063507,-0.10697142702071627,0.529058605311209,0.5043258788245542,-0.3482646246706034,-0.9502583693259468,3.269947080660769e-06,7.048320503199347e-06,375,2.79932948258e-05
16,235,5,2,275,10,0.4143810260474208,0.4145264869177345,-0.6578277604877437,0.4144740350010757,0.4144461849063507,-0.10697142702071627,0.529058605311209,0.5043258788245542,-0.3482646246706034,-0.9502583693259468,3.269947080660769e-06,7.048320503199347e-06,375,1.79306915778e-05
16,236,5,2,300,10,0.4143810260474208,0.4145264869177345,-0.6578277604877437,0.4144740350010757,0.4144461849063507,-0.10697142702071627,0.529058605311209,0.5043258788245542,-0.3482646246706034,-0.9502583693259468,3.269947080660769e-06,7.048320503199347e-06,375,1.16908551291e-05
16,237,5,2,325,10,0.4143810260474208,0.4145264869177345,-0.6578277604877437,0.4144740350010757,0.4144461849063507,-0.10697142702071627,0.529058605311209,0.5043258788245542,-0.3482646246706034,-0.9502583693259468,3.269947080660769e-06,7.048320503199347e-06,375,7.68279469981e-06
16,238,5,2,350,10,0.4143810260474208,0.4145264869177345,-0.6578277604877437,0.4144740350010757,0.4144461849063507,-0.10697142702071627,0.529058605311209,0.5043258788245542,-0.3482646246706034,-0.9502583693259468,3.269947080660769e-06,7.048320503199347e-06,375,5.0322343947e-06
16,239,5,2,375,10,0.4143810260474208,0.4145264869177345,-0.6578277604877437,0.4144740350010757,0.4144461849063507,-0.10697142702071627,0.529058605311209,0.5043258788245542,-0.3482646246706034,-0.9502583693259468,3.269947080660769e-06,7.048320503199347e-06,375,3.26994708066e-06
16,240,5,2,400,10,0.4143810260474208,0.4145264869177345,-0.6578277604877437,0.4144740350010757,0.4144461849063507,-0.10697142702071627,0.529058605311209,0.5043258788245542,-0.3482646246706034,-0.9502583693259468,3.269947080660769e-06,7.048320503199347e-06,375,3.09555766176e-06
