exp,row,n,k,r,t,p_1,p_2,p_3,p_4,p_5,v_1,v_2,v_3,v_4,v_5,original_error,suzuki_error,original_r,error
16,1,5,2,25,10,0.458933983390379,0.393452644189031,-0.661204536837651,0.389255292840979,0.419332719897976,-0.106971427020716,0.529058605311209,0.504325878824554,-0.348264624670603,-0.950258369325947,0.085555439967569,0.126129858160922,25,0.0855554399676
16,2,5,2,50,10,0.458933983390379,0.393452644189031,-0.661204536837651,0.389255292840979,0.419332719897976,-0.106971427020716,0.529058605311209,0.504325878824554,-0.348264624670603,-0.950258369325947,0.085555439967569,0.126129858160922,25,0.0146245533303
16,3,5,2,75,10,0.458933983390379,0.393452644189031,-0.661204536837651,0.389255292840979,0.419332719897976,-0.106971427020716,0.529058605311209,0.504325878824554,-0.348264624670603,-0.950258369325947,0.085555439967569,0.126129858160922,25,0.0155809596648
16,4,5,2,100,10,0.458933983390379,0.393452644189031,-0.661204536837651,0.389255292840979,0.419332719897976,-0.106971427020716,0.529058605311209,0.504325878824554,-0.348264624670603,-0.950258369325947,0.085555439967569,0.126129858160922,25,0.0174629851998
16,5,5,2,125,10,0.458933983390379,0.393452644189031,-0.661204536837651,0.389255292840979,0.419332719897976,-0.106971427020716,0.529058605311209,0.504325878824554,-0.348264624670603,-0.950258369325947,0.085555439967569,0.126129858160922,25,0.0179694534825
16,6,5,2,150,10,0.458933983390379,0.393452644189031,-0.661204536837651,0.389255292840979,0.419332719897976,-0.106971427020716,0.529058605311209,0.504325878824554,-0.348264624670603,-0.950258369325947,0.085555439967569,0.126129858160922,25,0.0181383007456
16,7,5,2,175,10,0.458933983390379,0.393452644189031,-0.661204536837651,0.389255292840979,0.419332719897976,-0.106971427020716,0.529058605311209,0.504325878824554,-0.348264624670603,-0.950258369325947,0.085555439967569,0.126129858160922,25,0.0182023497256
16,8,5,2,200,10,0.458933983390379,0.393452644189031,-0.661204536837651,0.389255292840979,0.419332719897976,-0.106971427020716,0.529058605311209,0.504325878824554,-0.348264624670603,-0.950258369325947,0.085555439967569,0.126129858160922,25,0.0182283460494
16,9,5,2,225,10,0.458933983390379,0.393452644189031,-0.661204536837651,0.389255292840979,0.419332719897976,-0.106971427020716,0.529058605311209,0.504325878824554,-0.348264624670603,-0.950258369325947,0.085555439967569,0.126129858160922,25,0.0182389786566
16,10,5,2,250,10,0.458933983390379,0.393452644189031,-0.661204536837651,0.389255292840979,0.419332719897976,-0.106971427020716,0.529058605311209,0.504325878824554,-0.348264624670603,-0.950258369325947,0.085555439967569,0.126129858160922,25,0.0182429599352
16,11,5,2,275,10,0.458933983390379,0.393452644189031,-0.661204536837651,0.389255292840979,0.419332719897976,-0.106971427020716,0.529058605311209,0.504325878824554,-0.348264624670603,-0.950258369325947,0.085555439967569,0.126129858160922,25,0.0182439464964
16,12,5,2,300,10,0.458933983390379,0.393452644189031,-0.661204536837651,0.389255292840979,0.419332719897976,-0.106971427020716,0.529058605311209,0.504325878824554,-0.348264624670603,-0.950258369325947,0.085555439967569,0.126129858160922,25,0.0182435755742
16,13,5,2,325,10,0.458933983390379,0.393452644189031,-0.661204536837651,0.389255292840979,0.419332719897976,-0.106971427020716,0.529058605311209,0.504325878824554,-0.348264624670603,-0.950258369325947,0.085555439967569,0.126129858160922,25,0.01824261399
16,14,5,2,350,10,0.458933983390379,0.393452644189031,-0.661204536837651,0.389255292840979,0.419332719897976,-0.106971427020716,0.529058605311209,0.504325878824554,-0.348264624670603,-0.950258369325947,0.085555439967569,0.126129858160922,25,0.0182414306742
16,15,5,2,375,10,0.458933983390379,0.393452644189031,-0.661204536837651,0.389255292840979,0.419332719897976,-0.106971427020716,0.529058605311209,0.504325878824554,-0.348264624670603,-0.950258369325947,0.085555439967569,0.126129858160922,25,0.0182402043482
