exp,row,n,k,r,t,p_1,p_2,p_3,p_4,p_5,v_1,v_2,v_3,v_4,v_5,v_6,v_7,v_8,v_9,v_10,v_11,suzuki error,optimised error,%
12,1,5,2,125,10,0.41434658273795,0.413708198774563,-0.656796607255073,0.414448860927181,0.414290808711419,-0.106971427020716,0.529058605311209,0.504325878824554,-0.348264624670603,-0.950258369325947,,,,,,,0.000554903608059,0.000256437440632,46.2129704885
12,2,6,2,125,10,0.41434658273795,0.413708198774563,-0.656796607255073,0.414448860927181,0.414290808711419,-0.106971427020716,0.529058605311209,0.504325878824554,-0.348264624670603,-0.950258369325947,0.400521254841827,,,,,,0.000996754987669,0.00051919652528,52.08868094
12,3,7,2,125,10,0.41434658273795,0.413708198774563,-0.656796607255073,0.414448860927181,0.414290808711419,-0.106971427020716,0.529058605311209,0.504325878824554,-0.348264624670603,-0.950258369325947,0.400521254841827,-0.46142293211746,,,,,0.00105283381904,0.000479071958845,45.5030936678
12,4,8,2,125,10,0.41434658273795,0.413708198774563,-0.656796607255073,0.414448860927181,0.414290808711419,-0.106971427020716,0.529058605311209,0.504325878824554,-0.348264624670603,-0.950258369325947,0.400521254841827,-0.46142293211746,-0.474997124833648,,,,0.00135776480288,0.000596426262742,43.9270675951
12,5,9,2,125,10,0.41434658273795,0.413708198774563,-0.656796607255073,0.414448860927181,0.414290808711419,-0.106971427020716,0.529058605311209,0.504325878824554,-0.348264624670603,-0.950258369325947,0.400521254841827,-0.46142293211746,-0.474997124833648,0.36918281797897,,,0.0013916200013,0.000630793109099,45.3279708908
12,6,10,2,125,10,0.41434658273795,0.413708198774563,-0.656796607255073,0.414448860927181,0.414290808711419,-0.106971427020716,0.529058605311209,0.504325878824554,-0.348264624670603,-0.950258369325947,0.400521254841827,-0.46142293211746,-0.474997124833648,0.36918281797897,0.618943473517517,,0.0016915654322,0.000752782086845,44.5020968456
12,7,11,2,125,10,0.41434658273795,0.413708198774563,-0.656796607255073,0.414448860927181,0.414290808711419,-0.106971427020716,0.529058605311209,0.504325878824554,-0.348264624670603,-0.950258369325947,0.400521254841827,-0.46142293211746,-0.474997124833648,0.36918281797897,0.618943473517517,-0.37953786096059,0.00172288118279,0.000781619201106,45.3669822918
12,8,5,2,125,10,0.413446697812266,0.41417733309301,-0.656797871870057,0.415119709088791,0.41405197595188,-0.106971427020716,0.529058605311209,0.504325878824554,-0.348264624670603,-0.950258369325947,,,,,,,0.000554903608059,0.000256472829597,46.2193479862
12,9,6,2,125,10,0.413446697812266,0.41417733309301,-0.656797871870057,0.415119709088791,0.41405197595188,-0.106971427020716,0.529058605311209,0.504325878824554,-0.348264624670603,-0.950258369325947,0.84662087525338,,,,,,0.00114546995148,0.000515824072512,45.0316546362
12,10,7,2,125,10,0.413446697812266,0.41417733309301,-0.656797871870057,0.415119709088791,0.41405197595188,-0.106971427020716,0.529058605311209,0.504325878824554,-0.348264624670603,-0.950258369325947,0.84662087525338,-0.543654301312074,,,,,0.00123512402061,0.000621472112572,50.31657568
12,11,8,2,125,10,0.413446697812266,0.41417733309301,-0.656797871870057,0.415119709088791,0.41405197595188,-0.106971427020716,0.529058605311209,0.504325878824554,-0.348264624670603,-0.950258369325947,0.84662087525338,-0.543654301312074,0.294401060135042,,,,0.00167058298754,0.000803498062385,48.0968660867
12,12,9,2,125,10,0.413446697812266,0.41417733309301,-0.656797871870057,0.415119709088791,0.41405197595188,-0.106971427020716,0.529058605311209,0.504325878824554,-0.348264624670603,-0.950258369325947,0.84662087525338,-0.543654301312074,0.294401060135042,0.704615579957659,,,0.00162125417099,0.000788675421746,48.6460072613
12,13,10,2,125,10,0.413446697812266,0.41417733309301,-0.656797871870057,0.415119709088791,0.41405197595188,-0.106971427020716,0.529058605311209,0.504325878824554,-0.348264624670603,-0.950258369325947,0.84662087525338,-0.543654301312074,0.294401060135042,0.704615579957659,0.46742797245413,,0.00190948543263,0.00090185052585,47.2300291187
12,14,11,2,125,10,0.413446697812266,0.41417733309301,-0.656797871870057,0.415119709088791,0.41405197595188,-0.106971427020716,0.529058605311209,0.504325878824554,-0.348264624670603,-0.950258369325947,0.84662087525338,-0.543654301312074,0.294401060135042,0.704615579957659,0.46742797245413,-0.444863137532894,0.00195993484171,0.00094540825119,48.2367184392
12,15,5,2,125,10,0.414305337245232,0.41450590357782,-0.656796765588441,0.413530277749981,0.414453091120651,-0.106971427020716,0.529058605311209,0.504325878824554,-0.348264624670603,-0.950258369325947,,,,,,,0.000554903608059,0.000256437908728,46.2130548448
12,16,6,2,125,10,0.414305337245232,0.41450590357782,-0.656796765588441,0.413530277749981,0.414453091120651,-0.106971427020716,0.529058605311209,0.504325878824554,-0.348264624670603,-0.950258369325947,-0.713457628385746,,,,,,0.000848174865604,0.000333342427022,39.3011442027
12,17,7,2,125,10,0.414305337245232,0.41450590357782,-0.656796765588441,0.413530277749981,0.414453091120651,-0.106971427020716,0.529058605311209,0.504325878824554,-0.348264624670603,-0.950258369325947,-0.713457628385746,0.26007342919584,,,,,0.000915974660934,0.0003745544807,40.8913583175
12,18,8,2,125,10,0.414305337245232,0.41450590357782,-0.656796765588441,0.413530277749981,0.414453091120651,-0.106971427020716,0.529058605311209,0.504325878824554,-0.348264624670603,-0.950258369325947,-0.713457628385746,0.26007342919584,0.228507375728415,,,,0.00122860915761,0.000514534568412,41.8794345804
12,19,9,2,125,10,0.414305337245232,0.41450590357782,-0.656796765588441,0.413530277749981,0.414453091120651,-0.106971427020716,0.529058605311209,0.504325878824554,-0.348264624670603,-0.950258369325947,-0.713457628385746,0.26007342919584,0.228507375728415,0.358754416398034,,,0.00124885941582,0.00052138154274,41.7486176696
12,20,10,2,125,10,0.414305337245232,0.41450590357782,-0.656796765588441,0.413530277749981,0.414453091120651,-0.106971427020716,0.529058605311209,0.504325878824554,-0.348264624670603,-0.950258369325947,-0.713457628385746,0.26007342919584,0.228507375728415,0.358754416398034,0.987979116468903,,0.00157911791798,0.000683457587697,43.2809722387
12,21,11,2,125,10,0.414305337245232,0.41450590357782,-0.656796765588441,0.413530277749981,0.414453091120651,-0.106971427020716,0.529058605311209,0.504325878824554,-0.348264624670603,-0.950258369325947,-0.713457628385746,0.26007342919584,0.228507375728415,0.358754416398034,0.987979116468903,0.143332825196753,0.00153598989823,0.000652143180274,42.4575175283
