id,n,v_1,v_2,v_3,v_4,k,r,seed,gens,algorithm,kind,p_1,p_2,p_3,p_4,p_5,optimised error,suzuki error,% error,time
1,4,-0.10697142702071627,0.529058605311209,0.5043258788245542,-0.3482646246706034,2,100,579330341,250,CMAES,p,0.4138488375124564,0.4151206168601421,-0.6562933988143583,0.4134802329425034,0.41383529793303797,0.0003073501361295709,0.0011615146242126202,26.461150787311066,418.93427562713623
2,4,-0.10697142702071627,0.529058605311209,0.5043258788245542,-0.3482646246706034,2,100,554197088,500,CMAES,p,0.4146296835730524,0.4128739148273256,-0.6563034731430443,0.4140432957622611,0.4147481561079953,0.0003075362835297015,0.0011615146242126202,26.47717705131586,796.8861529827118
3,4,-0.10697142702071627,0.529058605311209,0.5043258788245542,-0.3482646246706034,2,100,201040179,250,CMAES,p,0.4138170641284384,0.4141561459639171,-0.6563028513405742,0.41533552446751953,0.41298570481234614,0.0003072441374055196,0.0011615146242126202,26.45202488206272,454.00778436660767
4,4,-0.9502583693259468,0.09640984945486153,0.16554078304766007,-0.7392959233634115,2,100,579330341,250,CMAES,p,0.41266027093864877,0.41509180672498996,-0.6558827836819658,0.41433893198994926,0.41378478125649015,0.0002939588151716953,0.001187225419309033,24.760151727780546,404.9018166065216
5,4,-0.9502583693259468,0.09640984945486153,0.16554078304766007,-0.7392959233634115,2,100,554197088,500,CMAES,p,0.41364447164302065,0.41444167891585554,-0.6558864535831515,0.4141410300799013,0.41365227059813847,0.0002937989627608414,0.001187225419309033,24.746687358819596,777.6666736602783
6,4,-0.9502583693259468,0.09640984945486153,0.16554078304766007,-0.7392959233634115,2,100,201040179,250,CMAES,p,0.4152953308414112,0.4126430041439889,-0.6558913624511411,0.41235957579822435,0.4155864466301061,0.00029401050289976245,0.001187225419309033,24.76450538524327,418.0041148662567
7,4,-0.32963147600991705,-0.4714438567589781,-0.14148262945720247,0.4992799373516386,2,100,579330341,250,CMAES,p,0.4127291861586059,0.414308782490309,-0.6562428922197181,0.4146861561730599,0.4145108140738001,0.00031533768008785415,0.0011627607778009455,27.119738308014824,440.8138384819031
8,4,-0.32963147600991705,-0.4714438567589781,-0.14148262945720247,0.4992799373516386,2,100,554197088,500,CMAES,p,0.40880387137487234,0.4114090572343677,-0.6569701211264997,0.43242862484866884,0.4043206187686109,0.00031424486448570284,0.0011627607778009455,27.025753747904528,809.2399561405182
9,4,-0.32963147600991705,-0.4714438567589781,-0.14148262945720247,0.4992799373516386,2,100,201040179,250,CMAES,p,0.4138676297766789,0.41340504130850847,-0.6562511004908677,0.41557268745622794,0.41339778408183725,0.0003151178097014596,0.0011627607778009455,27.100828968226946,340.69508719444275
