id,n,v_1,v_2,v_3,v_4,v_5,v_6,k,r,seed,gens,algorithm,kind,p_1,p_2,p_3,p_4,p_5,optimised error,suzuki error,% error,time
1,6,-0.10697142702071627,0.529058605311209,0.5043258788245542,-0.3482646246706034,-0.9502583693259468,0.09640984945486153,2,100,699911460,250,CMAES,p,0.4124317689091198,0.4129802471535904,-0.652983109688452,0.41609046621349066,0.4114757411145109,0.002067305094572552,0.0053410313409892555,38.70610304618901,1425.564447402954
2,6,-0.10697142702071627,0.529058605311209,0.5043258788245542,-0.3482646246706034,-0.9502583693259468,0.09640984945486153,2,100,300619650,250,CMAES,p,0.41348741186439697,0.4154823430752684,-0.6530014736939207,0.410833480118936,0.41319331644168744,0.0020661219574035295,0.0053410313409892555,38.68395119772591,1368.353765487671
3,6,-0.10697142702071627,0.529058605311209,0.5043258788245542,-0.3482646246706034,-0.9502583693259468,0.09640984945486153,2,100,768199526,250,CMAES,p,0.4246821961765428,0.416442678793459,-0.6534537066622383,0.4054394944966758,0.40688392104090604,0.0020794700995217744,0.0053410313409892555,38.93386813822027,1529.0001170635223
4,6,0.16554078304766007,-0.7392959233634115,-0.32963147600991705,-0.4714438567589781,-0.14148262945720247,0.4992799373516386,2,100,699911460,250,CMAES,p,0.416618273589827,0.4106134802782342,-0.654258619522019,0.4134299695819731,0.41358834452504334,0.0016708753525169857,0.005000928748773122,33.411300909394114,1445.9233193397522
5,6,0.16554078304766007,-0.7392959233634115,-0.32963147600991705,-0.4714438567589781,-0.14148262945720247,0.4992799373516386,2,100,300619650,250,CMAES,p,0.41125265497757274,0.4129439507377485,-0.6542829009653452,0.4127332788095874,0.41734444180424285,0.0016725218014546207,0.005000928748773122,33.444223772733025,1511.8314187526703
6,6,0.16554078304766007,-0.7392959233634115,-0.32963147600991705,-0.4714438567589781,-0.14148262945720247,0.4992799373516386,2,100,768199526,250,CMAES,p,0.4134713647246778,0.41515398938743175,-0.6542364706595245,0.4120406814247061,0.4135619307868727,0.00167105786111317,0.005000928748773122,33.41495040342518,1453.3662989139557
7,6,-0.8450044399089445,0.5629205826890511,-0.6166066469120175,0.999084104496638,0.2196479105213669,0.1592370069643183,2,100,699911460,250,CMAES,p,0.4141567596682137,0.41066382889605785,-0.652842599350011,0.41465928763077897,0.41335542485372834,0.0018909311181715496,0.008287575141593274,22.816458202368963,1404.109309911728
8,6,-0.8450044399089445,0.5629205826890511,-0.6166066469120175,0.999084104496638,0.2196479105213669,0.1592370069643183,2,100,300619650,250,CMAES,p,0.41543255221575504,0.41443404030487796,-0.6528817107739882,0.40823437391634043,0.41477342794577626,0.001889524112405383,0.008287575141593274,22.799480911157385,1444.4584550857544
9,6,-0.8450044399089445,0.5629205826890511,-0.6166066469120175,0.999084104496638,0.2196479105213669,0.1592370069643183,2,100,768199526,250,CMAES,p,0.41690588379670657,0.4156220628695401,-0.6529453012687139,0.4143689645306025,0.4060410255401823,0.0018974722818170286,0.008287575141593274,22.895385554866202,1482.965821504593
