id,n,v_1,v_2,v_3,v_4,v_5,k,r,seed,gens,algorithm,kind,p_1,p_2,p_3,p_4,p_5,optimised error,suzuki error,% error,time
124,5,-0.14148262945720247,0.4992799373516386,-0.8450044399089445,0.5629205826890511,-0.6166066469120175,2,75,1115242,250,CMAES,p,0.41541594644349583,0.41333271250082865,-0.6539976814391778,0.41363363553293936,0.41159467612220063,0.0019360049609866892,0.006164282866649955,31.40681572970761,596.948194026947
125,5,-0.14148262945720247,0.4992799373516386,-0.8450044399089445,0.5629205826890511,-0.6166066469120175,2,75,1187090,250,CMAES,p,0.416068897352063,0.41291521529485886,-0.6540056365128745,0.41158010805504786,0.41342073823927256,0.0019347153236901802,0.006164282866649955,31.385894605151723,593.5255227088928
126,5,-0.14148262945720247,0.4992799373516386,-0.8450044399089445,0.5629205826890511,-0.6166066469120175,2,75,1552725,250,CMAES,p,0.4140417059427089,0.41266248828043656,-0.6539948564987891,0.41296963131005193,0.41430026970825484,0.0019312810740479444,0.006164282866649955,31.33018253423402,595.2672765254974
127,5,-0.14148262945720247,0.4992799373516386,-0.8450044399089445,0.5629205826890511,-0.6166066469120175,2,75,1813704,250,CMAES,p,0.4154869737885542,0.4097619547859716,-0.6541801205591647,0.4073669094162689,0.42154365332193305,0.0019474079548822524,0.006164282866649955,31.59180065240244,624.8379709720612
128,5,-0.14148262945720247,0.4992799373516386,-0.8450044399089445,0.5629205826890511,-0.6166066469120175,2,75,2259964,250,CMAES,p,0.41588003110952476,0.41117401940169646,-0.6540178391693761,0.4120370463795681,0.4149060384517961,0.0019321669014471486,0.006164282866649955,31.34455285789319,627.062075138092
129,5,-0.14148262945720247,0.4992799373516386,-0.8450044399089445,0.5629205826890511,-0.6166066469120175,2,75,2422921,250,CMAES,p,0.41304392777603205,0.40859535701806904,-0.6540511145426943,0.4149044614957906,0.4174868316291443,0.0019441031101643748,0.006164282866649955,31.538187851215824,627.6783645153046
130,5,-0.14148262945720247,0.4992799373516386,-0.8450044399089445,0.5629205826890511,-0.6166066469120175,2,75,3488656,250,CMAES,p,0.4109397792560839,0.41699656353807324,-0.6540219639013636,0.41317745251906496,0.4128872804924569,0.0019307899323758378,0.006164282866649955,31.32221499473703,613.1428968906403
131,5,-0.14148262945720247,0.4992799373516386,-0.8450044399089445,0.5629205826890511,-0.6166066469120175,2,75,3648721,250,CMAES,p,0.41719680186540475,0.41340333984097893,-0.6540486345036343,0.4087413506847617,0.414686542643832,0.0019369770080224049,0.006164282866649955,31.422584750317853,608.3902444839478
132,5,-0.14148262945720247,0.4992799373516386,-0.8450044399089445,0.5629205826890511,-0.6166066469120175,2,75,3679669,250,CMAES,p,0.4122386118701414,0.41603480749448557,-0.6540068470233613,0.4127889237046044,0.4129236421413999,0.0019305738989721522,0.006164282866649955,31.31871039560751,595.9638297557831
13,5,-0.10697142702071627,0.529058605311209,0.5043258788245542,-0.3482646246706034,-0.9502583693259468,2,75,3901933,250,CMAES,p,0.4184292950028996,0.4099741708195794,-0.6550445343972265,0.41527307853201667,0.4113525962498634,0.0018632045785896925,0.004040300247899568,46.115497964744506,622.7201590538025
