exp,row,n,k,r,t,p_1,p_2,p_3,p_4,p_5,v_1,v_2,v_3,v_4,v_5,original_error,suzuki_error,original_r
16,1,5,2,25,10,0.4589339833903789,0.39345264418903153,-0.6612045368376509,0.3892552928409795,0.4193327198979765,-0.10697142702071627,0.529058605311209,0.5043258788245542,-0.3482646246706034,-0.9502583693259468,0.08555543996756916,0.12612985816092204,25
16,2,5,2,50,10,0.4589339833903789,0.39345264418903153,-0.6612045368376509,0.3892552928409795,0.4193327198979765,-0.10697142702071627,0.529058605311209,0.5043258788245542,-0.3482646246706034,-0.9502583693259468,0.08555543996756916,0.12612985816092204,25
16,3,5,2,75,10,0.4589339833903789,0.39345264418903153,-0.6612045368376509,0.3892552928409795,0.4193327198979765,-0.10697142702071627,0.529058605311209,0.5043258788245542,-0.3482646246706034,-0.9502583693259468,0.08555543996756916,0.12612985816092204,25
16,4,5,2,100,10,0.4589339833903789,0.39345264418903153,-0.6612045368376509,0.3892552928409795,0.4193327198979765,-0.10697142702071627,0.529058605311209,0.5043258788245542,-0.3482646246706034,-0.9502583693259468,0.08555543996756916,0.12612985816092204,25
16,5,5,2,125,10,0.4589339833903789,0.39345264418903153,-0.6612045368376509,0.3892552928409795,0.4193327198979765,-0.10697142702071627,0.529058605311209,0.5043258788245542,-0.3482646246706034,-0.9502583693259468,0.08555543996756916,0.12612985816092204,25
16,6,5,2,150,10,0.4589339833903789,0.39345264418903153,-0.6612045368376509,0.3892552928409795,0.4193327198979765,-0.10697142702071627,0.529058605311209,0.5043258788245542,-0.3482646246706034,-0.9502583693259468,0.08555543996756916,0.12612985816092204,25
16,7,5,2,175,10,0.4589339833903789,0.39345264418903153,-0.6612045368376509,0.3892552928409795,0.4193327198979765,-0.10697142702071627,0.529058605311209,0.5043258788245542,-0.3482646246706034,-0.9502583693259468,0.08555543996756916,0.12612985816092204,25
16,8,5,2,200,10,0.4589339833903789,0.39345264418903153,-0.6612045368376509,0.3892552928409795,0.4193327198979765,-0.10697142702071627,0.529058605311209,0.5043258788245542,-0.3482646246706034,-0.9502583693259468,0.08555543996756916,0.12612985816092204,25
16,9,5,2,225,10,0.4589339833903789,0.39345264418903153,-0.6612045368376509,0.3892552928409795,0.4193327198979765,-0.10697142702071627,0.529058605311209,0.5043258788245542,-0.3482646246706034,-0.9502583693259468,0.08555543996756916,0.12612985816092204,25
16,10,5,2,250,10,0.4589339833903789,0.39345264418903153,-0.6612045368376509,0.3892552928409795,0.4193327198979765,-0.10697142702071627,0.529058605311209,0.5043258788245542,-0.3482646246706034,-0.9502583693259468,0.08555543996756916,0.12612985816092204,25
16,11,5,2,275,10,0.4589339833903789,0.39345264418903153,-0.6612045368376509,0.3892552928409795,0.4193327198979765,-0.10697142702071627,0.529058605311209,0.5043258788245542,-0.3482646246706034,-0.9502583693259468,0.08555543996756916,0.12612985816092204,25
16,12,5,2,300,10,0.4589339833903789,0.39345264418903153,-0.6612045368376509,0.3892552928409795,0.4193327198979765,-0.10697142702071627,0.529058605311209,0.5043258788245542,-0.3482646246706034,-0.9502583693259468,0.08555543996756916,0.12612985816092204,25
16,13,5,2,325,10,0.4589339833903789,0.39345264418903153,-0.6612045368376509,0.3892552928409795,0.4193327198979765,-0.10697142702071627,0.529058605311209,0.5043258788245542,-0.3482646246706034,-0.9502583693259468,0.08555543996756916,0.12612985816092204,25
16,14,5,2,350,10,0.4589339833903789,0.39345264418903153,-0.6612045368376509,0.3892552928409795,0.4193327198979765,-0.10697142702071627,0.529058605311209,0.5043258788245542,-0.3482646246706034,-0.9502583693259468,0.08555543996756916,0.12612985816092204,25
16,15,5,2,375,10,0.4589339833903789,0.39345264418903153,-0.6612045368376509,0.3892552928409795,0.4193327198979765,-0.10697142702071627,0.529058605311209,0.5043258788245542,-0.3482646246706034,-0.9502583693259468,0.08555543996756916,0.12612985816092204,25
16,16,5,2,400,10,0.4589339833903789,0.39345264418903153,-0.6612045368376509,0.3892552928409795,0.4193327198979765,-0.10697142702071627,0.529058605311209,0.5043258788245542,-0.3482646246706034,-0.9502583693259468,0.08555543996756916,0.12612985816092204,25
16,17,5,2,25,10,0.4148808910865739,0.40850963777515464,-0.6523323546243878,0.41396109270964276,0.41491236788240254,-0.10697142702071627,0.529058605311209,0.5043258788245542,-0.3482646246706034,-0.9502583693259468,0.008392867228576361,0.018174168263084534,50
16,18,5,2,50,10,0.4148808910865739,0.40850963777515464,-0.6523323546243878,0.41396109270964276,0.41491236788240254,-0.10697142702071627,0.529058605311209,0.5043258788245542,-0.3482646246706034,-0.9502583693259468,0.008392867228576361,0.018174168263084534,50
16,19,5,2,75,10,0.4148808910865739,0.40850963777515464,-0.6523323546243878,0.41396109270964276,0.41491236788240254,-0.10697142702071627,0.529058605311209,0.5043258788245542,-0.3482646246706034,-0.9502583693259468,0.008392867228576361,0.018174168263084534,50
16,20,5,2,100,10,0.4148808910865739,0.40850963777515464,-0.6523323546243878,0.41396109270964276,0.41491236788240254,-0.10697142702071627,0.529058605311209,0.5043258788245542,-0.3482646246706034,-0.9502583693259468,0.008392867228576361,0.018174168263084534,50
16,21,5,2,125,10,0.4148808910865739,0.40850963777515464,-0.6523323546243878,0.41396109270964276,0.41491236788240254,-0.10697142702071627,0.529058605311209,0.5043258788245542,-0.3482646246706034,-0.9502583693259468,0.008392867228576361,0.018174168263084534,50
