id,n,v_1,v_2,v_3,v_4,v_5,k,r,seed,gens,algorithm,kind,p_1,p_2,p_3,p_4,p_5,p_6,p_7,p_8,p_9,p_10,optimised error,suzuki error,% error,time
2,5,-0.10697142702071627,0.529058605311209,0.5043258788245542,-0.3482646246706034,-0.9502583693259468,3,25,951689995,500,CMAES,p concatenated,0.37231195497674296,0.37134877795852644,-0.49082216275365864,0.3724004823697892,0.37411708540272487,0.4147243825168224,0.4158068996952409,-0.6578985293539074,0.4150461549031614,0.4129590792516849,0.001118167835029759,0.0012832600597870716,87.1349362509805,5317.4658806324005
3,5,-0.10697142702071627,0.529058605311209,0.5043258788245542,-0.3482646246706034,-0.9502583693259468,3,25,164252281,500,CMAES,p concatenated,0.3672342626971362,0.3723319311144257,-0.47957416486543464,0.369800624336949,0.3711303968178863,0.4161386987461025,0.4088227922723646,-0.6571259255057628,0.4137680684605977,0.41746266409188415,0.0010208663206488896,0.0012832600597870716,79.55256714046564,5053.306011199951
6,5,-0.10697142702071627,0.529058605311209,0.5043258788245542,-0.3482646246706034,-0.9502583693259468,3,50,164252281,500,CMAES,p concatenated,0.3735897993638553,0.3734360131518153,-0.4928638161439839,0.3725608387562899,0.37310410258915233,0.41463134839070254,0.41434517287558426,-0.6580511992077815,0.4147319612246007,0.41451573521199336,7.043900695083552e-06,1.3184308859241933e-05,53.426393224593795,4995.043121576309
7,5,0.09640984945486153,0.16554078304766007,-0.7392959233634115,-0.32963147600991705,-0.4714438567589781,3,25,678261680,500,CMAES,p concatenated,0.37307464585629135,0.3731608511530367,-0.4922418490426286,0.3731357621508604,0.3730574881104962,0.41448333126943965,0.41448641891075777,-0.6580133714690408,0.41450860408437673,0.4143379575856711,0.0008053094870188975,0.0012259188188522324,65.69027855962511,5273.5965049266815
8,5,0.09640984945486153,0.16554078304766007,-0.7392959233634115,-0.32963147600991705,-0.4714438567589781,3,25,951689995,500,CMAES,p concatenated,0.3698956055942286,0.3716176395191555,-0.4855188602315023,0.37237335227272406,0.3694965186273588,0.41647170683944873,0.4146293521539269,-0.6589933098238664,0.4138184509355518,0.41620230011228776,0.0007245390608597531,0.0012259188188505797,59.101716175552326,6449.722485780716
9,5,0.09640984945486153,0.16554078304766007,-0.7392959233634115,-0.32963147600991705,-0.4714438567589781,3,25,164252281,500,CMAES,p concatenated,0.3634800423380603,0.37619362782809906,-0.4838444003195074,0.3748864090319634,0.36959879088744635,0.4117855955160355,0.4145007359754129,-0.6574074659143456,0.4183058396609587,0.4124876003695936,0.0006644503990026846,0.0012259188188505797,54.20019570510164,6763.146334409714
10,5,0.09640984945486153,0.16554078304766007,-0.7392959233634115,-0.32963147600991705,-0.4714438567589781,3,50,678261680,500,CMAES,p concatenated,0.3730677429144299,0.3730620691264726,-0.49227307303628304,0.3730400114949338,0.3730746464699876,0.4144852455465237,0.41449880031782055,-0.6579447911187362,0.41449383951745694,0.41449539032897453,7.183788594026566e-06,1.5098618312021102e-05,47.57911250930181,7053.585101366043
11,5,0.09640984945486153,0.16554078304766007,-0.7392959233634115,-0.32963147600991705,-0.4714438567589781,3,50,951689995,500,CMAES,p concatenated,0.37304655903404904,0.37305528495782747,-0.4922767947798439,0.3730816131935569,0.3730710370453361,0.4144727950390405,0.4145044717570011,-0.6579407530764867,0.4144916831956851,0.41449398485672584,7.1829875702068015e-06,1.5098618317267363e-05,47.57380721381677,5382.808638334274
12,5,0.09640984945486153,0.16554078304766007,-0.7392959233634115,-0.32963147600991705,-0.4714438567589781,3,50,164252281,500,CMAES,p concatenated,0.37306609949906927,0.37305806284690163,-0.4922683471302961,0.37304783290264165,0.37306867534112226,0.414502992820265,0.414485501431508,-0.6579442094620307,0.4144828474760444,0.4145004258278224,7.189715270946104e-06,1.5098618317267363e-05,47.61836560053755,5527.298827886581
13,5,-0.14148262945720247,0.4992799373516386,-0.8450044399089445,0.5629205826890511,-0.6166066469120175,3,25,678261680,500,CMAES,p concatenated,0.37242357291034545,0.37258976426472906,-0.4918763866362032,0.37265308605703157,0.3731137097928538,0.414722706528484,0.4147585578388068,-0.6573076064499745,0.4146237402232828,0.41429320366912403,0.0014693174200999407,0.002119275280132063,69.33112625219599,5119.085921049118
14,5,-0.14148262945720247,0.4992799373516386,-0.8450044399089445,0.5629205826890511,-0.6166066469120175,3,25,951689995,500,CMAES,p concatenated,0.37563463228497007,0.373434088396732,-0.4899131280181245,0.3724473677626161,0.36879109810364374,0.4126940757292365,0.41478400115956293,-0.6561187211256808,0.4154113868218556,0.4128276625596662,0.001400533982036646,0.002119275280132063,66.08551494779724,4737.683050870895
15,5,-0.14148262945720247,0.4992799373516386,-0.8450044399089445,0.5629205826890511,-0.6166066469120175,3,25,164252281,500,CMAES,p concatenated,0.37149537111122827,0.3746005184483736,-0.4873953298215176,0.37158739163394533,0.37312016910805396,0.41138655552942976,0.41564305129850254,-0.6538973598505342,0.4143761182329476,0.40908561018266243,0.0013418265975757235,0.002119275280132063,63.31535172212774,5333.346549510956
16,5,-0.14148262945720247,0.4992799373516386,-0.8450044399089445,0.5629205826890511,-0.6166066469120175,3,50,678261680,500,CMAES,p concatenated,0.37306074468599537,0.3730436672846491,-0.4922755513878306,0.3730705212532069,0.37304842330138643,0.41450679084524394,0.4144542088888107,-0.6579107353739532,0.41448432678335495,0.41451750067226034,1.156084917790364e-05,2.5141816135835314e-05,45.98255398672512,8051.931270599365
17,5,-0.14148262945720247,0.4992799373516386,-0.8450044399089445,0.5629205826890511,-0.6166066469120175,3,50,951689995,500,CMAES,p concatenated,0.3730677841330977,0.3730390999485442,-0.49225765992801057,0.37303442281530824,0.3730328061297959,0.4144949350305206,0.4145260281451991,-0.6579294190732465,0.4144812608220787,0.4145106446128803,1.1559682981231914e-05,2.5141816135835314e-05,45.97791551245808,5752.067722797394
18,5,-0.14148262945720247,0.4992799373516386,-0.8450044399089445,0.5629205826890511,-0.6166066469120175,3,50,164252281,500,CMAES,p concatenated,0.3730490845230431,0.37305181822509365,-0.49227970763011925,0.3730434634358063,0.37307638906294793,0.4144831392833441,0.41448364426680845,-0.6579138558807033,0.41448782901130554,0.4145180948541254,1.1562223351558345e-05,2.5141816135835314e-05,45.98801967642422,6170.892782211304
19,5,0.999084104496638,0.2196479105213669,0.1592370069643183,0.7608713011021457,0.8513853262934397,3,25,678261680,500,CMAES,p concatenated,0.3741206918894862,0.37180758746494896,-0.48851097739951865,0.3725264064610436,0.37095842666819556,0.4120604981208642,0.41262823507000984,-0.6573986624541964,0.4160671714180697,0.41572869552029257,0.0016325248894773603,0.001971582749712095,82.8027578206268,7541.97074174881
