id,n,v_1,v_2,v_3,v_4,v_5,k,r,seed,gens,algorithm,kind
1,5,-0.10697142702071627,0.529058605311209,0.5043258788245542,-0.3482646246706034,-0.9502583693259468,3,25,678261680,500,CMAES,p concatenated
2,5,-0.10697142702071627,0.529058605311209,0.5043258788245542,-0.3482646246706034,-0.9502583693259468,3,25,951689995,500,CMAES,p concatenated
3,5,-0.10697142702071627,0.529058605311209,0.5043258788245542,-0.3482646246706034,-0.9502583693259468,3,25,164252281,500,CMAES,p concatenated
4,5,-0.10697142702071627,0.529058605311209,0.5043258788245542,-0.3482646246706034,-0.9502583693259468,3,50,678261680,500,CMAES,p concatenated
5,5,-0.10697142702071627,0.529058605311209,0.5043258788245542,-0.3482646246706034,-0.9502583693259468,3,50,951689995,500,CMAES,p concatenated
6,5,-0.10697142702071627,0.529058605311209,0.5043258788245542,-0.3482646246706034,-0.9502583693259468,3,50,164252281,500,CMAES,p concatenated
7,5,0.09640984945486153,0.16554078304766007,-0.7392959233634115,-0.32963147600991705,-0.47144385675897804,3,25,678261680,500,CMAES,p concatenated
8,5,0.09640984945486153,0.16554078304766007,-0.7392959233634115,-0.32963147600991705,-0.47144385675897804,3,25,951689995,500,CMAES,p concatenated
9,5,0.09640984945486153,0.16554078304766007,-0.7392959233634115,-0.32963147600991705,-0.47144385675897804,3,25,164252281,500,CMAES,p concatenated
10,5,0.09640984945486153,0.16554078304766007,-0.7392959233634115,-0.32963147600991705,-0.47144385675897804,3,50,678261680,500,CMAES,p concatenated
11,5,0.09640984945486153,0.16554078304766007,-0.7392959233634115,-0.32963147600991705,-0.47144385675897804,3,50,951689995,500,CMAES,p concatenated
12,5,0.09640984945486153,0.16554078304766007,-0.7392959233634115,-0.32963147600991705,-0.47144385675897804,3,50,164252281,500,CMAES,p concatenated
13,5,-0.14148262945720247,0.49927993735163856,-0.8450044399089445,0.5629205826890511,-0.6166066469120175,3,25,678261680,500,CMAES,p concatenated
14,5,-0.14148262945720247,0.49927993735163856,-0.8450044399089445,0.5629205826890511,-0.6166066469120175,3,25,951689995,500,CMAES,p concatenated
15,5,-0.14148262945720247,0.49927993735163856,-0.8450044399089445,0.5629205826890511,-0.6166066469120175,3,25,164252281,500,CMAES,p concatenated
16,5,-0.14148262945720247,0.49927993735163856,-0.8450044399089445,0.5629205826890511,-0.6166066469120175,3,50,678261680,500,CMAES,p concatenated
17,5,-0.14148262945720247,0.49927993735163856,-0.8450044399089445,0.5629205826890511,-0.6166066469120175,3,50,951689995,500,CMAES,p concatenated
18,5,-0.14148262945720247,0.49927993735163856,-0.8450044399089445,0.5629205826890511,-0.6166066469120175,3,50,164252281,500,CMAES,p concatenated
19,5,0.9990841044966379,0.2196479105213669,0.1592370069643183,0.7608713011021457,0.8513853262934397,3,25,678261680,500,CMAES,p concatenated
20,5,0.9990841044966379,0.2196479105213669,0.1592370069643183,0.7608713011021457,0.8513853262934397,3,25,951689995,500,CMAES,p concatenated
