id,n,v_1,v_2,v_3,v_4,v_5,k,r,scale
70,5.0,0.5462491563061158,-0.10068357262268468,0.6027915688719194,-0.29350042748625027,0.50260054400962,2.0,125.0,0.001
71,5.0,0.5462491563061158,-0.10068357262268468,0.6027915688719194,-0.29350042748625027,0.50260054400962,2.0,125.0,1e-05
72,5.0,0.5462491563061158,-0.10068357262268468,0.6027915688719194,-0.29350042748625027,0.50260054400962,2.0,125.0,1e-07
73,5.0,0.5462491563061158,-0.10068357262268468,0.6027915688719194,-0.29350042748625027,0.50260054400962,3.0,25.0,0.1
74,5.0,0.5462491563061158,-0.10068357262268468,0.6027915688719194,-0.29350042748625027,0.50260054400962,3.0,25.0,0.001
75,5.0,0.5462491563061158,-0.10068357262268468,0.6027915688719194,-0.29350042748625027,0.50260054400962,3.0,25.0,1e-05
76,5.0,0.5462491563061158,-0.10068357262268468,0.6027915688719194,-0.29350042748625027,0.50260054400962,3.0,25.0,1e-07
77,5.0,0.5462491563061158,-0.10068357262268468,0.6027915688719194,-0.29350042748625027,0.50260054400962,3.0,50.0,0.1
78,5.0,0.5462491563061158,-0.10068357262268468,0.6027915688719194,-0.29350042748625027,0.50260054400962,3.0,50.0,0.001
79,5.0,0.5462491563061158,-0.10068357262268468,0.6027915688719194,-0.29350042748625027,0.50260054400962,3.0,50.0,1e-05
80,5.0,0.5462491563061158,-0.10068357262268468,0.6027915688719194,-0.29350042748625027,0.50260054400962,3.0,50.0,1e-07
81,5.0,0.9904540693410235,-0.24445041636106435,0.7955458787759091,0.4290968664437629,0.9265661436565149,2.0,75.0,0.1
82,5.0,0.9904540693410235,-0.24445041636106435,0.7955458787759091,0.4290968664437629,0.9265661436565149,2.0,75.0,0.001
83,5.0,0.9904540693410235,-0.24445041636106435,0.7955458787759091,0.4290968664437629,0.9265661436565149,2.0,75.0,1e-05
84,5.0,0.9904540693410235,-0.24445041636106435,0.7955458787759091,0.4290968664437629,0.9265661436565149,2.0,75.0,1e-07
85,5.0,0.9904540693410235,-0.24445041636106435,0.7955458787759091,0.4290968664437629,0.9265661436565149,2.0,125.0,0.1
86,5.0,0.9904540693410235,-0.24445041636106435,0.7955458787759091,0.4290968664437629,0.9265661436565149,2.0,125.0,0.001
87,5.0,0.9904540693410235,-0.24445041636106435,0.7955458787759091,0.4290968664437629,0.9265661436565149,2.0,125.0,1e-05
88,5.0,0.9904540693410235,-0.24445041636106435,0.7955458787759091,0.4290968664437629,0.9265661436565149,2.0,125.0,1e-07
89,5.0,0.9904540693410235,-0.24445041636106435,0.7955458787759091,0.4290968664437629,0.9265661436565149,3.0,25.0,0.1
90,5.0,0.9904540693410235,-0.24445041636106435,0.7955458787759091,0.4290968664437629,0.9265661436565149,3.0,25.0,0.001
91,5.0,0.9904540693410235,-0.24445041636106435,0.7955458787759091,0.4290968664437629,0.9265661436565149,3.0,25.0,1e-05
92,5.0,0.9904540693410235,-0.24445041636106435,0.7955458787759091,0.4290968664437629,0.9265661436565149,3.0,25.0,1e-07
93,5.0,0.9904540693410235,-0.24445041636106435,0.7955458787759091,0.4290968664437629,0.9265661436565149,3.0,50.0,0.1
94,5.0,0.9904540693410235,-0.24445041636106435,0.7955458787759091,0.4290968664437629,0.9265661436565149,3.0,50.0,0.001
95,5.0,0.9904540693410235,-0.24445041636106435,0.7955458787759091,0.4290968664437629,0.9265661436565149,3.0,50.0,1e-05
96,5.0,0.9904540693410235,-0.24445041636106435,0.7955458787759091,0.4290968664437629,0.9265661436565149,3.0,50.0,1e-07
97,5.0,-0.0868026827782653,0.9132962777942597,-0.7319367414760487,-0.32894931626327173,-0.5470920147217146,2.0,75.0,0.1
98,5.0,-0.0868026827782653,0.9132962777942597,-0.7319367414760487,-0.32894931626327173,-0.5470920147217146,2.0,75.0,0.001
99,5.0,-0.0868026827782653,0.9132962777942597,-0.7319367414760487,-0.32894931626327173,-0.5470920147217146,2.0,75.0,1e-05
100,5.0,-0.0868026827782653,0.9132962777942597,-0.7319367414760487,-0.32894931626327173,-0.5470920147217146,2.0,75.0,1e-07
101,5.0,-0.0868026827782653,0.9132962777942597,-0.7319367414760487,-0.32894931626327173,-0.5470920147217146,2.0,125.0,0.1
102,5.0,-0.0868026827782653,0.9132962777942597,-0.7319367414760487,-0.32894931626327173,-0.5470920147217146,2.0,125.0,0.001
103,5.0,-0.0868026827782653,0.9132962777942597,-0.7319367414760487,-0.32894931626327173,-0.5470920147217146,2.0,125.0,1e-05
104,5.0,-0.0868026827782653,0.9132962777942597,-0.7319367414760487,-0.32894931626327173,-0.5470920147217146,2.0,125.0,1e-07
105,5.0,-0.0868026827782653,0.9132962777942597,-0.7319367414760487,-0.32894931626327173,-0.5470920147217146,3.0,25.0,0.1
106,5.0,-0.0868026827782653,0.9132962777942597,-0.7319367414760487,-0.32894931626327173,-0.5470920147217146,3.0,25.0,0.001
107,5.0,-0.0868026827782653,0.9132962777942597,-0.7319367414760487,-0.32894931626327173,-0.5470920147217146,3.0,25.0,1e-05
108,5.0,-0.0868026827782653,0.9132962777942597,-0.7319367414760487,-0.32894931626327173,-0.5470920147217146,3.0,25.0,1e-07
109,5.0,-0.0868026827782653,0.9132962777942597,-0.7319367414760487,-0.32894931626327173,-0.5470920147217146,3.0,50.0,0.1
110,5.0,-0.0868026827782653,0.9132962777942597,-0.7319367414760487,-0.32894931626327173,-0.5470920147217146,3.0,50.0,0.001
111,5.0,-0.0868026827782653,0.9132962777942597,-0.7319367414760487,-0.32894931626327173,-0.5470920147217146,3.0,50.0,1e-05
112,5.0,-0.0868026827782653,0.9132962777942597,-0.7319367414760487,-0.32894931626327173,-0.5470920147217146,3.0,50.0,1e-07
113,5.0,-0.7969527881951413,-0.20411592444163862,-0.6407052945809155,0.5440021214015651,0.6248807496122719,2.0,75.0,0.1
114,5.0,-0.7969527881951413,-0.20411592444163862,-0.6407052945809155,0.5440021214015651,0.6248807496122719,2.0,75.0,0.001
115,5.0,-0.7969527881951413,-0.20411592444163862,-0.6407052945809155,0.5440021214015651,0.6248807496122719,2.0,75.0,1e-05
116,5.0,-0.7969527881951413,-0.20411592444163862,-0.6407052945809155,0.5440021214015651,0.6248807496122719,2.0,75.0,1e-07
117,5.0,-0.7969527881951413,-0.20411592444163862,-0.6407052945809155,0.5440021214015651,0.6248807496122719,2.0,125.0,0.1
118,5.0,-0.7969527881951413,-0.20411592444163862,-0.6407052945809155,0.5440021214015651,0.6248807496122719,2.0,125.0,0.001
119,5.0,-0.7969527881951413,-0.20411592444163862,-0.6407052945809155,0.5440021214015651,0.6248807496122719,2.0,125.0,1e-05
120,5.0,-0.7969527881951413,-0.20411592444163862,-0.6407052945809155,0.5440021214015651,0.6248807496122719,2.0,125.0,1e-07
121,5.0,-0.7969527881951413,-0.20411592444163862,-0.6407052945809155,0.5440021214015651,0.6248807496122719,3.0,25.0,0.1
122,5.0,-0.7969527881951413,-0.20411592444163862,-0.6407052945809155,0.5440021214015651,0.6248807496122719,3.0,25.0,0.001
123,5.0,-0.7969527881951413,-0.20411592444163862,-0.6407052945809155,0.5440021214015651,0.6248807496122719,3.0,25.0,1e-05
124,5.0,-0.7969527881951413,-0.20411592444163862,-0.6407052945809155,0.5440021214015651,0.6248807496122719,3.0,25.0,1e-07
125,5.0,-0.7969527881951413,-0.20411592444163862,-0.6407052945809155,0.5440021214015651,0.6248807496122719,3.0,50.0,0.1
126,5.0,-0.7969527881951413,-0.20411592444163862,-0.6407052945809155,0.5440021214015651,0.6248807496122719,3.0,50.0,0.001
127,5.0,-0.7969527881951413,-0.20411592444163862,-0.6407052945809155,0.5440021214015651,0.6248807496122719,3.0,50.0,1e-05
128,5.0,-0.7969527881951413,-0.20411592444163862,-0.6407052945809155,0.5440021214015651,0.6248807496122719,3.0,50.0,1e-07
129,5.0,0.609745712203529,0.05446644913523624,-0.6144938691814952,0.2639392982633204,0.803192227352991,2.0,75.0,0.1
130,5.0,0.609745712203529,0.05446644913523624,-0.6144938691814952,0.2639392982633204,0.803192227352991,2.0,75.0,0.001
131,5.0,0.609745712203529,0.05446644913523624,-0.6144938691814952,0.2639392982633204,0.803192227352991,2.0,75.0,1e-05
132,5.0,0.609745712203529,0.05446644913523624,-0.6144938691814952,0.2639392982633204,0.803192227352991,2.0,75.0,1e-07
133,5.0,0.609745712203529,0.05446644913523624,-0.6144938691814952,0.2639392982633204,0.803192227352991,2.0,125.0,0.1
134,5.0,0.609745712203529,0.05446644913523624,-0.6144938691814952,0.2639392982633204,0.803192227352991,2.0,125.0,0.001
135,5.0,0.609745712203529,0.05446644913523624,-0.6144938691814952,0.2639392982633204,0.803192227352991,2.0,125.0,1e-05
136,5.0,0.609745712203529,0.05446644913523624,-0.6144938691814952,0.2639392982633204,0.803192227352991,2.0,125.0,1e-07
137,5.0,0.609745712203529,0.05446644913523624,-0.6144938691814952,0.2639392982633204,0.803192227352991,3.0,25.0,0.1
138,5.0,0.609745712203529,0.05446644913523624,-0.6144938691814952,0.2639392982633204,0.803192227352991,3.0,25.0,0.001
139,5.0,0.609745712203529,0.05446644913523624,-0.6144938691814952,0.2639392982633204,0.803192227352991,3.0,25.0,1e-05
140,5.0,0.609745712203529,0.05446644913523624,-0.6144938691814952,0.2639392982633204,0.803192227352991,3.0,25.0,1e-07
141,5.0,0.609745712203529,0.05446644913523624,-0.6144938691814952,0.2639392982633204,0.803192227352991,3.0,50.0,0.1
142,5.0,0.609745712203529,0.05446644913523624,-0.6144938691814952,0.2639392982633204,0.803192227352991,3.0,50.0,0.001
143,5.0,0.609745712203529,0.05446644913523624,-0.6144938691814952,0.2639392982633204,0.803192227352991,3.0,50.0,1e-05
144,5.0,0.609745712203529,0.05446644913523624,-0.6144938691814952,0.2639392982633204,0.803192227352991,3.0,50.0,1e-07
145,5.0,-0.1433912950891727,0.9314269581691439,-0.4432147075343016,0.2803608072686108,-0.4891034605552478,2.0,75.0,0.1
146,5.0,-0.1433912950891727,0.9314269581691439,-0.4432147075343016,0.2803608072686108,-0.4891034605552478,2.0,75.0,0.001
147,5.0,-0.1433912950891727,0.9314269581691439,-0.4432147075343016,0.2803608072686108,-0.4891034605552478,2.0,75.0,1e-05
148,5.0,-0.1433912950891727,0.9314269581691439,-0.4432147075343016,0.2803608072686108,-0.4891034605552478,2.0,75.0,1e-07
149,5.0,-0.1433912950891727,0.9314269581691439,-0.4432147075343016,0.2803608072686108,-0.4891034605552478,2.0,125.0,0.1
150,5.0,-0.1433912950891727,0.9314269581691439,-0.4432147075343016,0.2803608072686108,-0.4891034605552478,2.0,125.0,0.001
151,5.0,-0.1433912950891727,0.9314269581691439,-0.4432147075343016,0.2803608072686108,-0.4891034605552478,2.0,125.0,1e-05
152,5.0,-0.1433912950891727,0.9314269581691439,-0.4432147075343016,0.2803608072686108,-0.4891034605552478,2.0,125.0,1e-07
153,5.0,-0.1433912950891727,0.9314269581691439,-0.4432147075343016,0.2803608072686108,-0.4891034605552478,3.0,25.0,0.1
154,5.0,-0.1433912950891727,0.9314269581691439,-0.4432147075343016,0.2803608072686108,-0.4891034605552478,3.0,25.0,0.001
155,5.0,-0.1433912950891727,0.9314269581691439,-0.4432147075343016,0.2803608072686108,-0.4891034605552478,3.0,25.0,1e-05
156,5.0,-0.1433912950891727,0.9314269581691439,-0.4432147075343016,0.2803608072686108,-0.4891034605552478,3.0,25.0,1e-07
157,5.0,-0.1433912950891727,0.9314269581691439,-0.4432147075343016,0.2803608072686108,-0.4891034605552478,3.0,50.0,0.1
158,5.0,-0.1433912950891727,0.9314269581691439,-0.4432147075343016,0.2803608072686108,-0.4891034605552478,3.0,50.0,0.001
159,5.0,-0.1433912950891727,0.9314269581691439,-0.4432147075343016,0.2803608072686108,-0.4891034605552478,3.0,50.0,1e-05
160,5.0,-0.1433912950891727,0.9314269581691439,-0.4432147075343016,0.2803608072686108,-0.4891034605552478,3.0,50.0,1e-07
