id,n,v_1,v_2,v_3,v_4,v_5,k,r,scale
19,5.0,0.09640984945486153,0.16554078304766007,-0.7392959233634115,-0.32963147600991705,-0.47144385675897804,2.0,75.0,1e-05
20,5.0,0.09640984945486153,0.16554078304766007,-0.7392959233634115,-0.32963147600991705,-0.47144385675897804,2.0,75.0,1e-07
21,5.0,0.09640984945486153,0.16554078304766007,-0.7392959233634115,-0.32963147600991705,-0.47144385675897804,2.0,125.0,0.1
22,5.0,0.09640984945486153,0.16554078304766007,-0.7392959233634115,-0.32963147600991705,-0.47144385675897804,2.0,125.0,0.001
23,5.0,0.09640984945486153,0.16554078304766007,-0.7392959233634115,-0.32963147600991705,-0.47144385675897804,2.0,125.0,1e-05
24,5.0,0.09640984945486153,0.16554078304766007,-0.7392959233634115,-0.32963147600991705,-0.47144385675897804,2.0,125.0,1e-07
25,5.0,0.09640984945486153,0.16554078304766007,-0.7392959233634115,-0.32963147600991705,-0.47144385675897804,3.0,25.0,0.1
26,5.0,0.09640984945486153,0.16554078304766007,-0.7392959233634115,-0.32963147600991705,-0.47144385675897804,3.0,25.0,0.001
27,5.0,0.09640984945486153,0.16554078304766007,-0.7392959233634115,-0.32963147600991705,-0.47144385675897804,3.0,25.0,1e-05
28,5.0,0.09640984945486153,0.16554078304766007,-0.7392959233634115,-0.32963147600991705,-0.47144385675897804,3.0,25.0,1e-07
29,5.0,0.09640984945486153,0.16554078304766007,-0.7392959233634115,-0.32963147600991705,-0.47144385675897804,3.0,50.0,0.1
30,5.0,0.09640984945486153,0.16554078304766007,-0.7392959233634115,-0.32963147600991705,-0.47144385675897804,3.0,50.0,0.001
31,5.0,0.09640984945486153,0.16554078304766007,-0.7392959233634115,-0.32963147600991705,-0.47144385675897804,3.0,50.0,1e-05
32,5.0,0.09640984945486153,0.16554078304766007,-0.7392959233634115,-0.32963147600991705,-0.47144385675897804,3.0,50.0,1e-07
33,5.0,-0.14148262945720247,0.49927993735163856,-0.8450044399089445,0.5629205826890511,-0.6166066469120175,2.0,75.0,0.1
34,5.0,-0.14148262945720247,0.49927993735163856,-0.8450044399089445,0.5629205826890511,-0.6166066469120175,2.0,75.0,0.001
35,5.0,-0.14148262945720247,0.49927993735163856,-0.8450044399089445,0.5629205826890511,-0.6166066469120175,2.0,75.0,1e-05
36,5.0,-0.14148262945720247,0.49927993735163856,-0.8450044399089445,0.5629205826890511,-0.6166066469120175,2.0,75.0,1e-07
37,5.0,-0.14148262945720247,0.49927993735163856,-0.8450044399089445,0.5629205826890511,-0.6166066469120175,2.0,125.0,0.1
38,5.0,-0.14148262945720247,0.49927993735163856,-0.8450044399089445,0.5629205826890511,-0.6166066469120175,2.0,125.0,0.001
39,5.0,-0.14148262945720247,0.49927993735163856,-0.8450044399089445,0.5629205826890511,-0.6166066469120175,2.0,125.0,1e-05
40,5.0,-0.14148262945720247,0.49927993735163856,-0.8450044399089445,0.5629205826890511,-0.6166066469120175,2.0,125.0,1e-07
41,5.0,-0.14148262945720247,0.49927993735163856,-0.8450044399089445,0.5629205826890511,-0.6166066469120175,3.0,25.0,0.1
42,5.0,-0.14148262945720247,0.49927993735163856,-0.8450044399089445,0.5629205826890511,-0.6166066469120175,3.0,25.0,0.001
43,5.0,-0.14148262945720247,0.49927993735163856,-0.8450044399089445,0.5629205826890511,-0.6166066469120175,3.0,25.0,1e-05
44,5.0,-0.14148262945720247,0.49927993735163856,-0.8450044399089445,0.5629205826890511,-0.6166066469120175,3.0,25.0,1e-07
45,5.0,-0.14148262945720247,0.49927993735163856,-0.8450044399089445,0.5629205826890511,-0.6166066469120175,3.0,50.0,0.1
46,5.0,-0.14148262945720247,0.49927993735163856,-0.8450044399089445,0.5629205826890511,-0.6166066469120175,3.0,50.0,0.001
47,5.0,-0.14148262945720247,0.49927993735163856,-0.8450044399089445,0.5629205826890511,-0.6166066469120175,3.0,50.0,1e-05
48,5.0,-0.14148262945720247,0.49927993735163856,-0.8450044399089445,0.5629205826890511,-0.6166066469120175,3.0,50.0,1e-07
49,5.0,0.9990841044966379,0.2196479105213669,0.1592370069643183,0.7608713011021457,0.8513853262934397,2.0,75.0,0.1
50,5.0,0.9990841044966379,0.2196479105213669,0.1592370069643183,0.7608713011021457,0.8513853262934397,2.0,75.0,0.001
51,5.0,0.9990841044966379,0.2196479105213669,0.1592370069643183,0.7608713011021457,0.8513853262934397,2.0,75.0,1e-05
52,5.0,0.9990841044966379,0.2196479105213669,0.1592370069643183,0.7608713011021457,0.8513853262934397,2.0,75.0,1e-07
53,5.0,0.9990841044966379,0.2196479105213669,0.1592370069643183,0.7608713011021457,0.8513853262934397,2.0,125.0,0.1
54,5.0,0.9990841044966379,0.2196479105213669,0.1592370069643183,0.7608713011021457,0.8513853262934397,2.0,125.0,0.001
55,5.0,0.9990841044966379,0.2196479105213669,0.1592370069643183,0.7608713011021457,0.8513853262934397,2.0,125.0,1e-05
56,5.0,0.9990841044966379,0.2196479105213669,0.1592370069643183,0.7608713011021457,0.8513853262934397,2.0,125.0,1e-07
57,5.0,0.9990841044966379,0.2196479105213669,0.1592370069643183,0.7608713011021457,0.8513853262934397,3.0,25.0,0.1
