id,n,v_1,v_2,v_3,v_4,v_5,k,r,seed,gens,algorithm,kind
1,5,-0.10697142702071627,0.529058605311209,0.5043258788245542,-0.3482646246706034,-0.9502583693259468,2,50,373276626,250,CMAES,p
2,5,-0.10697142702071627,0.529058605311209,0.5043258788245542,-0.3482646246706034,-0.9502583693259468,2,50,554197088,250,CMAES,p
3,5,-0.10697142702071627,0.529058605311209,0.5043258788245542,-0.3482646246706034,-0.9502583693259468,2,50,858138413,250,CMAES,p
4,5,-0.10697142702071627,0.529058605311209,0.5043258788245542,-0.3482646246706034,-0.9502583693259468,2,100,373276626,250,CMAES,p
5,5,-0.10697142702071627,0.529058605311209,0.5043258788245542,-0.3482646246706034,-0.9502583693259468,2,100,554197088,250,CMAES,p
6,5,-0.10697142702071627,0.529058605311209,0.5043258788245542,-0.3482646246706034,-0.9502583693259468,2,100,858138413,250,CMAES,p
7,5,-0.10697142702071627,0.529058605311209,0.5043258788245542,-0.3482646246706034,-0.9502583693259468,2,150,373276626,250,CMAES,p
8,5,-0.10697142702071627,0.529058605311209,0.5043258788245542,-0.3482646246706034,-0.9502583693259468,2,150,554197088,250,CMAES,p
9,5,-0.10697142702071627,0.529058605311209,0.5043258788245542,-0.3482646246706034,-0.9502583693259468,2,150,858138413,250,CMAES,p
10,5,-0.10697142702071627,0.529058605311209,0.5043258788245542,-0.3482646246706034,-0.9502583693259468,2,200,373276626,250,CMAES,p
11,5,-0.10697142702071627,0.529058605311209,0.5043258788245542,-0.3482646246706034,-0.9502583693259468,2,200,554197088,250,CMAES,p
12,5,-0.10697142702071627,0.529058605311209,0.5043258788245542,-0.3482646246706034,-0.9502583693259468,2,200,858138413,250,CMAES,p
13,5,0.09640984945486153,0.16554078304766007,-0.7392959233634115,-0.32963147600991705,-0.47144385675897804,2,50,373276626,250,CMAES,p
14,5,0.09640984945486153,0.16554078304766007,-0.7392959233634115,-0.32963147600991705,-0.47144385675897804,2,50,554197088,250,CMAES,p
15,5,0.09640984945486153,0.16554078304766007,-0.7392959233634115,-0.32963147600991705,-0.47144385675897804,2,50,858138413,250,CMAES,p
16,5,0.09640984945486153,0.16554078304766007,-0.7392959233634115,-0.32963147600991705,-0.47144385675897804,2,100,373276626,250,CMAES,p
17,5,0.09640984945486153,0.16554078304766007,-0.7392959233634115,-0.32963147600991705,-0.47144385675897804,2,100,554197088,250,CMAES,p
18,5,0.09640984945486153,0.16554078304766007,-0.7392959233634115,-0.32963147600991705,-0.47144385675897804,2,100,858138413,250,CMAES,p
19,5,0.09640984945486153,0.16554078304766007,-0.7392959233634115,-0.32963147600991705,-0.47144385675897804,2,150,373276626,250,CMAES,p
20,5,0.09640984945486153,0.16554078304766007,-0.7392959233634115,-0.32963147600991705,-0.47144385675897804,2,150,554197088,250,CMAES,p
21,5,0.09640984945486153,0.16554078304766007,-0.7392959233634115,-0.32963147600991705,-0.47144385675897804,2,150,858138413,250,CMAES,p
22,5,0.09640984945486153,0.16554078304766007,-0.7392959233634115,-0.32963147600991705,-0.47144385675897804,2,200,373276626,250,CMAES,p
23,5,0.09640984945486153,0.16554078304766007,-0.7392959233634115,-0.32963147600991705,-0.47144385675897804,2,200,554197088,250,CMAES,p
24,5,0.09640984945486153,0.16554078304766007,-0.7392959233634115,-0.32963147600991705,-0.47144385675897804,2,200,858138413,250,CMAES,p
25,5,-0.14148262945720247,0.49927993735163856,-0.8450044399089445,0.5629205826890511,-0.6166066469120175,2,50,373276626,250,CMAES,p
26,5,-0.14148262945720247,0.49927993735163856,-0.8450044399089445,0.5629205826890511,-0.6166066469120175,2,50,554197088,250,CMAES,p
27,5,-0.14148262945720247,0.49927993735163856,-0.8450044399089445,0.5629205826890511,-0.6166066469120175,2,50,858138413,250,CMAES,p
28,5,-0.14148262945720247,0.49927993735163856,-0.8450044399089445,0.5629205826890511,-0.6166066469120175,2,100,373276626,250,CMAES,p
29,5,-0.14148262945720247,0.49927993735163856,-0.8450044399089445,0.5629205826890511,-0.6166066469120175,2,100,554197088,250,CMAES,p
30,5,-0.14148262945720247,0.49927993735163856,-0.8450044399089445,0.5629205826890511,-0.6166066469120175,2,100,858138413,250,CMAES,p
31,5,-0.14148262945720247,0.49927993735163856,-0.8450044399089445,0.5629205826890511,-0.6166066469120175,2,150,373276626,250,CMAES,p
32,5,-0.14148262945720247,0.49927993735163856,-0.8450044399089445,0.5629205826890511,-0.6166066469120175,2,150,554197088,250,CMAES,p
33,5,-0.14148262945720247,0.49927993735163856,-0.8450044399089445,0.5629205826890511,-0.6166066469120175,2,150,858138413,250,CMAES,p
34,5,-0.14148262945720247,0.49927993735163856,-0.8450044399089445,0.5629205826890511,-0.6166066469120175,2,200,373276626,250,CMAES,p
35,5,-0.14148262945720247,0.49927993735163856,-0.8450044399089445,0.5629205826890511,-0.6166066469120175,2,200,554197088,250,CMAES,p
36,5,-0.14148262945720247,0.49927993735163856,-0.8450044399089445,0.5629205826890511,-0.6166066469120175,2,200,858138413,250,CMAES,p
37,5,0.9990841044966379,0.2196479105213669,0.1592370069643183,0.7608713011021457,0.8513853262934397,2,50,373276626,250,CMAES,p
38,5,0.9990841044966379,0.2196479105213669,0.1592370069643183,0.7608713011021457,0.8513853262934397,2,50,554197088,250,CMAES,p
39,5,0.9990841044966379,0.2196479105213669,0.1592370069643183,0.7608713011021457,0.8513853262934397,2,50,858138413,250,CMAES,p
40,5,0.9990841044966379,0.2196479105213669,0.1592370069643183,0.7608713011021457,0.8513853262934397,2,100,373276626,250,CMAES,p
41,5,0.9990841044966379,0.2196479105213669,0.1592370069643183,0.7608713011021457,0.8513853262934397,2,100,554197088,250,CMAES,p
42,5,0.9990841044966379,0.2196479105213669,0.1592370069643183,0.7608713011021457,0.8513853262934397,2,100,858138413,250,CMAES,p
43,5,0.9990841044966379,0.2196479105213669,0.1592370069643183,0.7608713011021457,0.8513853262934397,2,150,373276626,250,CMAES,p
44,5,0.9990841044966379,0.2196479105213669,0.1592370069643183,0.7608713011021457,0.8513853262934397,2,150,554197088,250,CMAES,p
45,5,0.9990841044966379,0.2196479105213669,0.1592370069643183,0.7608713011021457,0.8513853262934397,2,150,858138413,250,CMAES,p
46,5,0.9990841044966379,0.2196479105213669,0.1592370069643183,0.7608713011021457,0.8513853262934397,2,200,373276626,250,CMAES,p
47,5,0.9990841044966379,0.2196479105213669,0.1592370069643183,0.7608713011021457,0.8513853262934397,2,200,554197088,250,CMAES,p
48,5,0.9990841044966379,0.2196479105213669,0.1592370069643183,0.7608713011021457,0.8513853262934397,2,200,858138413,250,CMAES,p
49,5,0.5462491563061158,-0.10068357262268468,0.6027915688719194,-0.29350042748625027,0.50260054400962,2,50,373276626,250,CMAES,p
50,5,0.5462491563061158,-0.10068357262268468,0.6027915688719194,-0.29350042748625027,0.50260054400962,2,50,554197088,250,CMAES,p
51,5,0.5462491563061158,-0.10068357262268468,0.6027915688719194,-0.29350042748625027,0.50260054400962,2,50,858138413,250,CMAES,p
