id,n,v_1,v_2,v_3,v_4,v_5,k,r,seed,gens,algorithm,kind,p_1,p_2,p_3,p_4,p_5,optimised error,suzuki error,% error,time
79,5,-0.0868026827782653,0.9132962777942596,-0.7319367414760487,-0.3289493162632717,-0.5470920147217146,2,150,373276626,250,CMAES,p,0.41390207621164854,0.4130617706736339,-0.6568813491662279,0.4143625999016321,0.4155537450661209,0.00011985167002066703,0.0003466810484678768,34.57116290329103,1208.4970378875732
80,5,-0.0868026827782653,0.9132962777942596,-0.7319367414760487,-0.3289493162632717,-0.5470920147217146,2,150,554197088,250,CMAES,p,0.41416972247689676,0.4131413127220966,-0.6568833153769931,0.4157312514966584,0.41383986767091213,0.00011971181406227505,0.0003466810484678768,34.530821511971816,1191.5050172805786
81,5,-0.0868026827782653,0.9132962777942596,-0.7319367414760487,-0.3289493162632717,-0.5470920147217146,2,150,858138413,250,CMAES,p,0.41384172930792423,0.41480033763224494,-0.656878509156852,0.41445167132741095,0.4137836110448727,0.00011970519026313736,0.0003466810484678768,34.528910879946515,1192.1076109409332
82,5,-0.0868026827782653,0.9132962777942596,-0.7319367414760487,-0.3289493162632717,-0.5470920147217146,2,200,373276626,250,CMAES,p,0.41458747704635396,0.414250241485149,-0.657343091626001,0.4146474757639143,0.4138575251337395,3.838840394115429e-05,0.00011082247796807418,34.6395466380144,1302.8685443401337
83,5,-0.0868026827782653,0.9132962777942596,-0.7319367414760487,-0.3289493162632717,-0.5470920147217146,2,200,554197088,250,CMAES,p,0.41379781749595923,0.41488224806534857,-0.6573435650896122,0.4144321605427758,0.414230966563974,3.838140868871917e-05,0.00011082247796807418,34.633234513828604,1331.9693367481232
84,5,-0.0868026827782653,0.9132962777942596,-0.7319367414760487,-0.3289493162632717,-0.5470920147217146,2,200,858138413,250,CMAES,p,0.4145819345651443,0.4144736889155355,-0.6573428302267229,0.41427179721548235,0.41401503718434934,3.838846904420379e-05,0.00011082247796807418,34.63960538336164,1333.9258601665497
