id,n,v_1,v_2,v_3,v_4,v_5,v_6,v_7,k,r,seed,gens,algorithm,kind,p_1,p_2,p_3,p_4,p_5,optimised error,suzuki error,% error,time
1,7,-0.10697142702071627,0.529058605311209,0.5043258788245542,-0.3482646246706034,-0.9502583693259468,0.09640984945486153,0.16554078304766007,2,100,568421788,250,CMAES,p,0.41565255793613626,0.40864349370791436,-0.6530477019563603,0.4128238139246303,0.4159076468113131,0.003707083652714074,0.010712234215177838,34.60607356270852,4105.664807319641
2,7,-0.10697142702071627,0.529058605311209,0.5043258788245542,-0.3482646246706034,-0.9502583693259468,0.09640984945486153,0.16554078304766007,2,100,629853408,250,CMAES,p,0.41162898374369283,0.4047852767959561,-0.6531958494815364,0.4211757229553697,0.4155857786234995,0.003720262180245035,0.010712234215177838,34.72909670863907,4948.092273712158
3,7,-0.10697142702071627,0.529058605311209,0.5043258788245542,-0.3482646246706034,-0.9502583693259468,0.09640984945486153,0.16554078304766007,2,100,204586338,250,CMAES,p,0.4118755008522468,0.4151562840939472,-0.6529821422210292,0.4092880952273032,0.41664259739727083,0.00371146718021453,0.010712234215177838,34.64699432127674,4975.158566236496
4,7,-0.7392959233634115,-0.32963147600991705,-0.4714438567589781,-0.14148262945720247,0.4992799373516386,-0.8450044399089445,0.5629205826890511,2,100,568421788,250,CMAES,p,0.4115153030273892,0.4139416024013986,-0.6537125932476153,0.41467993969440586,0.4135368262100133,0.004017752475220081,0.015678374162119785,25.62607853132689,4763.8207149505615
5,7,-0.7392959233634115,-0.32963147600991705,-0.4714438567589781,-0.14148262945720247,0.4992799373516386,-0.8450044399089445,0.5629205826890511,2,100,629853408,250,CMAES,p,0.4209700305083041,0.40889977651437964,-0.6542200804867592,0.4229069936865583,0.4014039728463625,0.00404974002935994,0.015678374162119785,25.83010194478225,6174.539355754852
6,7,-0.7392959233634115,-0.32963147600991705,-0.4714438567589781,-0.14148262945720247,0.4992799373516386,-0.8450044399089445,0.5629205826890511,2,100,204586338,250,CMAES,p,0.4074017676490357,0.42106501692807713,-0.6539843199023899,0.41995870697995563,0.4055196305436149,0.004044134461726065,0.015678374162119785,25.794348443966975,4948.152636528015
7,7,-0.6166066469120175,0.999084104496638,0.2196479105213669,0.1592370069643183,0.7608713011021457,0.8513853262934397,0.5462491563061158,2,100,568421788,250,CMAES,p,0.41854777477642185,0.41217273870100646,-0.6534663002284418,0.408274957302009,0.41444581745879056,0.003381310667321865,0.01387323500339614,24.37290701479595,6664.632635354996
8,7,-0.6166066469120175,0.999084104496638,0.2196479105213669,0.1592370069643183,0.7608713011021457,0.8513853262934397,0.5462491563061158,2,100,629853408,250,CMAES,p,0.4098067306344538,0.4096785843551151,-0.6537492949276833,0.4077347582748583,0.4265041976341295,0.003402613893526404,0.01387323500339614,24.52646331366441,4926.081366300583
9,7,-0.6166066469120175,0.999084104496638,0.2196479105213669,0.1592370069643183,0.7608713011021457,0.8513853262934397,0.5462491563061158,2,100,204586338,250,CMAES,p,0.40874082658517685,0.4233420294338398,-0.6535451879079738,0.411667965450281,0.4097692824503862,0.003403508942615973,0.01387323500339614,24.53291493860517,5091.16658782959
