,exp,row,n,k,r,t,p_1,p_2,p_3,p_4,p_5,v_1,v_2,v_3,v_4,v_5,original_error,suzuki_error,error,v_suz_error
13,15,14,5,2,100,10,0.413905183341949,0.412148642886093,-0.6561953871314511,0.41460666565670096,0.41552976052452506,0.09779590701922199,0.6771475910702089,0.10793346269983199,0.31995019735873403,-0.14424244289484198,0.000614017365742,0.0013303233875399999,0.00065131941809,0.001256652713580904
14,15,15,5,2,100,10,0.413905183341949,0.412148642886093,-0.6561953871314511,0.41460666565670096,0.41552976052452506,-0.397932370303915,0.744903041479516,-0.618593810031835,0.9644931611512841,0.772321347717434,0.000614017365742,0.0013303233875399999,0.00111324786044,0.002128309832157201
15,15,16,5,2,100,10,0.413905183341949,0.412148642886093,-0.6561953871314511,0.41460666565670096,0.41552976052452506,0.9426348641298841,-0.0037674492744359995,-0.026144726113405,0.31151238904345696,-0.23846731517363298,0.000614017365742,0.0013303233875399999,0.0007371260314960001,0.0015748864924874006
16,15,17,5,2,100,10,0.413905183341949,0.412148642886093,-0.6561953871314511,0.41460666565670096,0.41552976052452506,-0.7792433087145899,-0.634439944143254,0.288266005962503,-0.8352754998489978,0.6970477297542359,0.000614017365742,0.0013303233875399999,0.00104154056726,0.0021367651055745804
17,15,18,5,2,100,10,0.413905183341949,0.412148642886093,-0.6561953871314511,0.41460666565670096,0.41552976052452506,0.34762965328911,-0.5496260650517271,-0.10859599898493301,0.15932001686603,0.10773479349605199,0.000614017365742,0.0013303233875399999,0.0007284322528689999,0.0013074079774217072
18,15,19,5,2,100,10,0.413905183341949,0.412148642886093,-0.6561953871314511,0.41460666565670096,0.41552976052452506,-0.844181066274578,0.5369412745423819,-0.8599370336530441,0.305900950477507,0.307307983465393,0.000614017365742,0.0013303233875399999,0.0010766793451800001,0.002119721449618185
19,15,20,5,2,100,10,0.413905183341949,0.412148642886093,-0.6561953871314511,0.41460666565670096,0.41552976052452506,-0.9042640046260499,0.533459801972326,0.415211652608789,0.569854372216116,-0.374962547897989,0.000614017365742,0.0013303233875399999,0.0007618795104810001,0.0015067740422385753
20,15,21,5,2,100,10,0.413905183341949,0.412148642886093,-0.6561953871314511,0.41460666565670096,0.41552976052452506,-0.999051849623006,-0.38270508552766097,-0.630254148303522,-0.8555475726657741,-0.8066554183749491,0.000614017365742,0.0013303233875399999,0.0007674800181880001,0.0012748634670900303
21,15,22,5,2,100,10,0.413905183341949,0.412148642886093,-0.6561953871314511,0.41460666565670096,0.41552976052452506,0.428956264276091,0.518990654171372,-0.547659749729947,-0.61168691851822,-0.9706427775684549,0.000614017365742,0.0013303233875399999,0.0007465730486649999,0.0014727943363573761
22,15,23,5,2,100,10,0.413905183341949,0.412148642886093,-0.6561953871314511,0.41460666565670096,0.41552976052452506,-0.7138375868617991,-0.89561061944838,0.7837199813945921,0.08136905101121601,-0.11718969147978801,0.000614017365742,0.0013303233875399999,0.000760965019643,0.0015074669314189815
