exp,row,n,k,r,t,p_1,p_2,p_3,p_4,p_5,v_1,v_2,v_3,v_4,v_5,original_error,suzuki_error,error
15,1,5,2,100,10,0.413905183341949,0.412148642886093,-0.656195387131451,0.414606665656701,0.415529760524525,-0.106971427020716,0.529058605311209,0.504325878824554,-0.348264624670603,-0.950258369325947,0.000614017365742,0.00133032338754,0.000614017365742
15,2,5,2,100,10,0.413905183341949,0.412148642886093,-0.656195387131451,0.414606665656701,0.415529760524525,0.096409849454862,0.16554078304766,-0.739295923363411,-0.329631476009917,-0.471443856758978,0.000614017365742,0.00133032338754,0.000600058119273
15,3,5,2,100,10,0.413905183341949,0.412148642886093,-0.656195387131451,0.414606665656701,0.415529760524525,-0.141482629457203,0.499279937351639,-0.845004439908944,0.562920582689051,-0.616606646912017,0.000614017365742,0.00133032338754,0.000999171752336
15,4,5,2,100,10,0.413905183341949,0.412148642886093,-0.656195387131451,0.414606665656701,0.415529760524525,0.999084104496638,0.219647910521367,0.159237006964318,0.760871301102146,0.85138532629344,0.000614017365742,0.00133032338754,0.000672880722524
15,5,5,2,100,10,0.413905183341949,0.412148642886093,-0.656195387131451,0.414606665656701,0.415529760524525,0.546249156306116,-0.100683572622685,0.602791568871919,-0.29350042748625,0.50260054400962,0.000614017365742,0.00133032338754,0.000751852977838
15,6,5,2,100,10,0.413905183341949,0.412148642886093,-0.656195387131451,0.414606665656701,0.415529760524525,0.990454069341024,-0.244450416361064,0.795545878775909,0.429096866443763,0.926566143656515,0.000614017365742,0.00133032338754,0.000707484046378
15,7,5,2,100,10,0.413905183341949,0.412148642886093,-0.656195387131451,0.414606665656701,0.415529760524525,-0.086802682778265,0.91329627779426,-0.731936741476049,-0.328949316263272,-0.547092014721715,0.000614017365742,0.00133032338754,0.000784093061294
15,8,5,2,100,10,0.413905183341949,0.412148642886093,-0.656195387131451,0.414606665656701,0.415529760524525,-0.796952788195141,-0.204115924441639,-0.640705294580916,0.544002121401565,0.624880749612272,0.000614017365742,0.00133032338754,0.00085502638676
15,9,5,2,100,10,0.413905183341949,0.412148642886093,-0.656195387131451,0.414606665656701,0.415529760524525,0.609745712203529,0.054466449135236,-0.614493869181495,0.26393929826332,0.803192227352991,0.000614017365742,0.00133032338754,0.000554372463609
15,10,5,2,100,10,0.413905183341949,0.412148642886093,-0.656195387131451,0.414606665656701,0.415529760524525,-0.143391295089173,0.931426958169144,-0.443214707534302,0.280360807268611,-0.489103460555248,0.000614017365742,0.00133032338754,0.000780781627315
15,11,5,2,100,10,0.413905183341949,0.412148642886093,-0.656195387131451,0.414606665656701,0.415529760524525,0.029020003077867,-0.415211436180265,0.906035784447144,-0.737946442450304,-0.59406177308319,0.000614017365742,0.00133032338754,0.00092768076917
15,12,5,2,100,10,0.413905183341949,0.412148642886093,-0.656195387131451,0.414606665656701,0.415529760524525,0.329031654309824,0.438659911147265,0.023996515473117,-0.164971104824635,0.212852572051848,0.000614017365742,0.00133032338754,0.000678446787772
15,13,5,2,100,10,0.413905183341949,0.412148642886093,-0.656195387131451,0.414606665656701,0.415529760524525,-0.932683531588811,0.210337173751285,0.08075618136681,0.546788577158553,0.706532080400959,0.000614017365742,0.00133032338754,0.000797194273323
15,14,5,2,100,10,0.413905183341949,0.412148642886093,-0.656195387131451,0.414606665656701,0.415529760524525,0.097795907019222,0.677147591070209,0.107933462699832,0.319950197358734,-0.144242442894842,0.000614017365742,0.00133032338754,0.00065131941809
