id,n,v_1,v_2,v_3,v_4,v_5,k,r,seed,gens,algorithm,kind
1,5,-0.10697142702071627,0.529058605311209,0.5043258788245542,-0.3482646246706034,-0.9502583693259468,3,25,50085538,250,CMAES,p expanded
2,5,-0.10697142702071627,0.529058605311209,0.5043258788245542,-0.3482646246706034,-0.9502583693259468,3,25,285456617,250,CMAES,p expanded
3,5,-0.10697142702071627,0.529058605311209,0.5043258788245542,-0.3482646246706034,-0.9502583693259468,3,25,32848494,250,CMAES,p expanded
4,5,-0.10697142702071627,0.529058605311209,0.5043258788245542,-0.3482646246706034,-0.9502583693259468,3,50,50085538,250,CMAES,p expanded
5,5,-0.10697142702071627,0.529058605311209,0.5043258788245542,-0.3482646246706034,-0.9502583693259468,3,50,285456617,250,CMAES,p expanded
6,5,-0.10697142702071627,0.529058605311209,0.5043258788245542,-0.3482646246706034,-0.9502583693259468,3,50,32848494,250,CMAES,p expanded
7,5,0.09640984945486153,0.16554078304766007,-0.7392959233634115,-0.32963147600991705,-0.47144385675897804,3,25,50085538,250,CMAES,p expanded
8,5,0.09640984945486153,0.16554078304766007,-0.7392959233634115,-0.32963147600991705,-0.47144385675897804,3,25,285456617,250,CMAES,p expanded
9,5,0.09640984945486153,0.16554078304766007,-0.7392959233634115,-0.32963147600991705,-0.47144385675897804,3,25,32848494,250,CMAES,p expanded
10,5,0.09640984945486153,0.16554078304766007,-0.7392959233634115,-0.32963147600991705,-0.47144385675897804,3,50,50085538,250,CMAES,p expanded
11,5,0.09640984945486153,0.16554078304766007,-0.7392959233634115,-0.32963147600991705,-0.47144385675897804,3,50,285456617,250,CMAES,p expanded
12,5,0.09640984945486153,0.16554078304766007,-0.7392959233634115,-0.32963147600991705,-0.47144385675897804,3,50,32848494,250,CMAES,p expanded
13,5,-0.14148262945720247,0.49927993735163856,-0.8450044399089445,0.5629205826890511,-0.6166066469120175,3,25,50085538,250,CMAES,p expanded
14,5,-0.14148262945720247,0.49927993735163856,-0.8450044399089445,0.5629205826890511,-0.6166066469120175,3,25,285456617,250,CMAES,p expanded
15,5,-0.14148262945720247,0.49927993735163856,-0.8450044399089445,0.5629205826890511,-0.6166066469120175,3,25,32848494,250,CMAES,p expanded
16,5,-0.14148262945720247,0.49927993735163856,-0.8450044399089445,0.5629205826890511,-0.6166066469120175,3,50,50085538,250,CMAES,p expanded
17,5,-0.14148262945720247,0.49927993735163856,-0.8450044399089445,0.5629205826890511,-0.6166066469120175,3,50,285456617,250,CMAES,p expanded
18,5,-0.14148262945720247,0.49927993735163856,-0.8450044399089445,0.5629205826890511,-0.6166066469120175,3,50,32848494,250,CMAES,p expanded
