id,n,v_1,v_2,v_3,v_4,v_5,k,r,seed,gens,algorithm,kind,p_1,p_2,p_3,p_4,p_5,p_6,p_7,p_8,p_9,p_10,p_11,p_12,p_13,p_14,p_15,p_16,p_17,p_18,p_19,p_20,p_21,p_22,p_23,p_24,p_25,optimised error,suzuki error,% error,time
1,5,-0.10697142702071627,0.529058605311209,0.5043258788245542,-0.3482646246706034,-0.9502583693259468,3,25,50085538,250,CMAES,p expanded,0.15462548650333122,0.15465818669820489,-0.24539718188987833,0.15459076494938415,0.15460247287420653,0.15461387809831395,0.15461250550527875,-0.24545526711199517,0.15459615561246406,0.1546027775449988,-0.2040188831747718,-0.20402125124964626,0.3239435941073778,-0.20404941888565847,-0.2040322524186597,0.15460406476404484,0.15458476802064408,-0.2454392721041578,0.15463509070132753,0.15462580854976438,0.15459583424366327,0.15467029785293954,-0.24543130810569994,0.1546472449251323,0.15463099092570326,0.0011339253680217236,0.0012832600597936679,88.3628660743984,4464.247719526291
2,5,-0.10697142702071627,0.529058605311209,0.5043258788245542,-0.3482646246706034,-0.9502583693259468,3,25,285456617,250,CMAES,p expanded,0.1546242528036659,0.15462905889966164,-0.24546262139023195,0.15460901178511374,0.15460718667542664,0.15463691621870937,0.1545846490157621,-0.24540980933161718,0.15463558818341494,0.1546106086207551,-0.20405508851347612,-0.2040512626141126,0.32396105092449096,-0.20402662368120073,-0.20403687999023415,0.15463459511722177,0.15460729604040213,-0.24543789234547966,0.15460592771172757,0.1546482132469818,0.15465006165195483,0.15466273675694464,-0.24543679792238435,0.1546180332872699,0.1545870382529632,0.0011454686343274237,0.0012832600597936679,89.2623927305585,4395.876881837845
3,5,-0.10697142702071627,0.529058605311209,0.5043258788245542,-0.3482646246706034,-0.9502583693259468,3,25,32848494,250,CMAES,p expanded,0.15462474469128906,0.15459725950242031,-0.24544908263630277,0.15459616626662603,0.1546373154080737,0.15461076516300978,0.1546372604106256,-0.24543489472152658,0.15462398580528816,0.15460793170641718,-0.2040478416227332,-0.2040289496938627,0.3239908584628791,-0.2040342031816561,-0.2040308877100604,0.1546130252966959,0.15463634451494,-0.24544502073046987,0.1546197555368724,0.1546521881175361,0.15461547459046682,0.15463474264524205,-0.24546804766428257,0.15461064975909045,0.15462520968482868,0.0011459530679296971,0.0012832600597936679,89.30014295885995,4709.093804359436
4,5,-0.10697142702071627,0.529058605311209,0.5043258788245542,-0.3482646246706034,-0.9502583693259468,3,50,50085538,250,CMAES,p expanded,0.15463206787166933,0.15463117144172522,-0.24546292550987658,0.15463225435176772,0.15463323970248918,0.154632057663429,0.15463184050877382,-0.2454625248351432,0.15463364575563265,0.1546327217664428,-0.20403919631689396,-0.20403900012262527,0.3238904127038501,-0.20403765330453688,-0.20403872994872718,0.15463217326096396,0.15463165989992952,-0.245463872649627,0.15463341319077525,0.15463171543332122,0.15463200128121016,0.15463115110168066,-0.2454633060185962,0.15463264457258522,0.15463288524441027,8.898816557163511e-06,1.3184308865280971e-05,67.495510368369,4686.421765327454
5,5,-0.10697142702071627,0.529058605311209,0.5043258788245542,-0.3482646246706034,-0.9502583693259468,3,50,285456617,250,CMAES,p expanded,0.15463053963060328,0.15463384573100683,-0.24546139161889735,0.15462985081387653,0.15463095704636817,0.15462980846700883,0.1546331113834239,-0.24546404797793797,0.15463237809884955,0.1546368677213592,-0.20403835129779577,-0.20403836725384428,0.32389506247571537,-0.2040393771874861,-0.2040379749166993,0.1546305417420847,0.15463604752713447,-0.24546511174757102,0.1546319719953999,0.15463012221989866,0.15463323960572722,0.15463022632775394,-0.24546163314446257,0.1546340545194654,0.15462750798430067,8.000685303523254e-06,1.3184308865280971e-05,60.683387997621445,4528.4387011528015
6,5,-0.10697142702071627,0.529058605311209,0.5043258788245542,-0.3482646246706034,-0.9502583693259468,3,50,32848494,250,CMAES,p expanded,0.15463394127203217,0.15462841782656156,-0.24546357313615136,0.15462833435061513,0.1546274726064267,0.15462697055552302,0.15463191306124793,-0.24546105004716523,0.15462823632198086,0.15463719590123604,-0.20403805456978227,-0.20403529429469816,0.323891568475514,-0.20403769090060542,-0.20404091121152068,0.15463219970494815,0.1546335168279963,-0.24546282423277577,0.15463271614603882,0.15463355203056245,0.15462941322491305,0.1546308773143856,-0.24545350720097997,0.1546339172927411,0.1546325509020346,7.824572497456844e-06,1.3184308865280971e-05,59.34761220636872,4629.871101140976
7,5,0.09640984945486153,0.16554078304766007,-0.7392959233634115,-0.32963147600991705,-0.4714438567589781,3,25,50085538,250,CMAES,p expanded,0.15463156893032676,0.1546316048751051,-0.24546162646949107,0.15463198413454085,0.15462875924251857,0.15463039575669707,0.15463281879829527,-0.24546395086695222,0.15462994076615252,0.15463310400839422,-0.204039716504561,-0.2040375076066836,0.3238922547850337,-0.2040397672594593,-0.20404320159967904,0.15463303062261222,0.15463279224114135,-0.24546430912390857,0.15463446721450438,0.15462899266792976,0.15463118279067523,0.15463589228572258,-0.24546311870153684,0.15463194408636932,0.15463282896657773,0.0008063386010632065,0.0012259188188534428,65.77422490482246,4281.9702706336975
8,5,0.09640984945486153,0.16554078304766007,-0.7392959233634115,-0.32963147600991705,-0.4714438567589781,3,25,285456617,250,CMAES,p expanded,0.15463241658227259,0.15463261721994076,-0.24546558002193616,0.1546341268224958,0.15463251406922482,0.15463182026858832,0.15463433026184448,-0.24546246062428453,0.15463113834864714,0.15463329320265037,-0.20403896618210698,-0.20403837984656886,0.3238910057995401,-0.20404105136761008,-0.20403831262871225,0.15463126959023046,0.15463121168848987,-0.24546508812758558,0.1546304713116046,0.15463089527385498,0.1546276856919721,0.1546337369226884,-0.2454640746938553,0.15463330720925786,0.15463241531247382,0.0008064254985946268,0.0012259188188534428,65.78131326418882,4316.500238418579
9,5,0.09640984945486153,0.16554078304766007,-0.7392959233634115,-0.32963147600991705,-0.4714438567589781,3,25,32848494,250,CMAES,p expanded,0.15463108766618838,0.1546306316358006,-0.24546272758987772,0.15463130704309316,0.15463500760039448,0.15463438416354675,0.1546326196665328,-0.24546513533561304,0.15463409688316465,0.1546322069320758,-0.2040419967150371,-0.20404047133509337,0.32388785027745187,-0.2040421098227281,-0.20403919565150933,0.15463306061186227,0.15463160611427687,-0.24546286724279773,0.1546290302839613,0.15463169595699788,0.15463120482630732,0.15463508354908262,-0.245459632697879,0.15463063413313613,0.15463294347489973,0.0008057022704717011,0.0012259188188534428,65.7223184831476,4281.389094352722
10,5,0.09640984945486153,0.16554078304766007,-0.7392959233634115,-0.32963147600991705,-0.4714438567589781,3,50,50085538,250,CMAES,p expanded,0.15463156307158413,0.15463161477792758,-0.24546370013550647,0.15463224395451317,0.15463242769524602,0.15463211468500243,0.15463323595195286,-0.24546372069899225,0.15463153842478314,0.1546332488990492,-0.20403802164063403,-0.20403897612173014,0.32389137793377837,-0.20403845767303824,-0.20403797765572493,0.15463295126321794,0.1546322911151915,-0.24546314246011638,0.1546320350379235,0.15463306900925025,0.1546326279518944,0.1546307934360222,-0.2454637221757031,0.15463240480502363,0.1546319983797672,8.566471122247975e-06,1.509861831967709e-05,56.7367883661502,5711.694047927856
11,5,0.09640984945486153,0.16554078304766007,-0.7392959233634115,-0.32963147600991705,-0.4714438567589781,3,50,285456617,250,CMAES,p expanded,0.1546299971992442,0.15463378878830208,-0.24546333614489704,0.1546273094632939,0.15462910608993932,0.1546309066137015,0.15463440848082466,-0.24545895542378404,0.15463598913837595,0.1546282200958039,-0.2040364680138163,-0.20403846135479903,0.3238911222024055,-0.20403745290504535,-0.2040391145473236,0.15463315694055005,0.15463214844507356,-0.24546499828592544,0.15463255002779616,0.1546331493320084,0.15463279530325008,0.15463067701334662,-0.24545894269543558,0.15463270082497052,0.15462954021937045,7.879483085659727e-06,1.509861831967709e-05,52.186782385186106,5158.656764984131
12,5,0.09640984945486153,0.16554078304766007,-0.7392959233634115,-0.32963147600991705,-0.4714438567589781,3,50,32848494,250,CMAES,p expanded,0.15463062689355234,0.15463073524918974,-0.24546134260258867,0.15463318991949151,0.15463310594670124,0.15463305896617416,0.15463076508179813,-0.24546459772041698,0.15462549496743033,0.1546309074548941,-0.20403930069320786,-0.20403952651189863,0.3238957470406205,-0.2040390074828689,-0.2040386689335625,0.1546348087042539,0.15463442493163845,-0.24546339791546376,0.15463440323743444,0.15462813907830947,0.15463380445773783,0.1546333181085482,-0.24546206767813084,0.15463240446396342,0.1546328233371702,7.705105565625841e-06,1.509861831967709e-05,51.03185869387966,4666.539904594421
13,5,-0.14148262945720247,0.4992799373516386,-0.8450044399089445,0.5629205826890511,-0.6166066469120175,3,25,50085538,250,CMAES,p expanded,0.15463161765854713,0.15463189787576095,-0.2454603937135204,0.15464077573202892,0.1546326733050391,0.15462977616842374,0.15463298144761495,-0.24546538900151715,0.1546330212057429,0.15463894252725707,-0.2040419741308401,-0.2040439853034959,0.32389118347357343,-0.20404550924500145,-0.20403726522824017,0.1546287671443514,0.15463260091859496,-0.24546647294232884,0.1546263907106993,0.15463104372973185,0.15463962023732594,0.15463030827476165,-0.24546553742449337,0.15463220167752584,0.15463090466842142,0.0014893569147497393,0.0021192752801290466,70.27670868029233,4508.255787849426
14,5,-0.14148262945720247,0.4992799373516386,-0.8450044399089445,0.5629205826890511,-0.6166066469120175,3,25,285456617,250,CMAES,p expanded,0.15463173895366286,0.15463819969229764,-0.2454605290137937,0.15462994034053554,0.15462995631765067,0.15462934198596764,0.15462806891815498,-0.2454665196350301,0.15463638166860588,0.15462832415818364,-0.20403612560553613,-0.20403585299262122,0.3238912230951574,-0.20403927703749367,-0.20403717000085494,0.15464066221991193,0.15463615266715394,-0.2454668778497281,0.15462931606320166,0.15462934792294483,0.15462795847704153,0.1546332138465627,-0.24547041611119463,0.15462860154577343,0.15463254508807348,0.0014902079788289965,0.002119275280155341,70.3168669395212,6105.520592212677
15,5,-0.14148262945720247,0.4992799373516386,-0.8450044399089445,0.5629205826890511,-0.6166066469120175,3,25,32848494,250,CMAES,p expanded,0.15463212912284782,0.1546336833174944,-0.24546427476478483,0.15463387478304141,0.15463300977203773,0.1546321640035183,0.15462975187572667,-0.24546635673293973,0.15463298816336238,0.15463337411479372,-0.20404094114564633,-0.2040388189754499,0.3238921877496852,-0.20404096876123687,-0.20403923199351073,0.15463007708728696,0.15463184696281793,-0.24546335673192948,0.1546321356302442,0.15463094905761857,0.15463191764579426,0.15463202145362348,-0.24546364525449615,0.1546332463338061,0.15463045788292967,0.0014901208471078343,0.002119275280155341,70.31275554719865,6031.584749698639
